Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,193.68645,251.15092,38.68892,397.02216,301.33475,45.85839,344.83691,272.04907,80.34138
2,0.008,193.86696,251.25049,38.65281,396.77274,301.29785,45.75243,344.93979,271.99017,80.37946
3,0.017,193.76678,251.05341,38.95237,397.22473,301.23898,45.68168,344.69049,271.60193,80.11202
4,0.025,194.14648,250.70917,38.76283,397.31372,301.20029,45.62388,344.69577,271.55768,79.9749
5,0.033,194.26195,250.46463,39.09385,397.6058,301.44443,45.59984,345.24408,270.763,79.51264
6,0.042,194.2869,250.40556,38.99594,397.73483,301.52438,45.35681,345.41037,270.02826,79.46038
7,0.05,194.26178,250.254,39.09028,398.07147,301.43793,45.30878,345.46582,269.64682,79.32999
8,0.058,194.46484,250.24007,39.0253,398.07303,301.41849,45.24967,345.58945,269.52188,79.34371
9,0.067,194.34047,250.19435,39.12256,398.15878,301.51291,45.27093,345.7995,269.23682,79.05483
10,0.075,194.61876,250.1144,38.90494,398.31766,300.93741,45.21864,345.97235,269.07367,78.97677
11,0.083,194.51997,249.97511,39.04278,398.43106,300.79791,45.01903,345.89941,268.71713,78.91619
12,0.092,194.76381,249.96051,39.0965,398.34534,300.7034,44.99775,346.20041,268.89172,78.69765
13,0.1,194.83678,249.91229,39.13045,398.38702,299.99567,44.81662,346.27597,268.74106,78.60598
14,0.108,194.99574,249.94238,39.23461,398.31357,299.70535,44.76033,346.20041,268.89172,78.69765
15,0.117,194.8058,249.93828,39.28589,398.31357,299.70535,44.76033,346.20041,268.89172,78.69765
16,0.125,195.00233,250.18483,39.3509,398.31903,299.40482,44.7512,346.0274,269.27444,78.65607
17,0.133,195.00233,250.18483,39.3509,398.37753,299.30115,44.65268,346.0274,269.27444,78.65607
18,0.142,194.99724,250.34621,39.42778,398.2124,299.39481,44.72267,346.05051,269.67648,78.75571
19,0.15,195.03513,250.74982,39.45007,398.2063,299.42404,44.87663,345.82907,270.32568,78.95493
20,0.158,195.06696,250.70016,39.22563,398.08362,299.53296,45.07837,345.82907,270.32568,78.95493
21,0.167,194.73967,251.03708,39.37929,397.90796,299.6026,45.1027,345.51874,271.25549,79.14259
22,0.175,194.57805,251.0273,39.43795,398.00528,299.54797,45.14169,345.26678,271.63507,79.24515
