Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,2189.78784,137.75195,979.65833,2234.25,163.58188,897.6283,2152.94116,130.39439,877.789
2,0.008,2182.55078,136.8092,978.72717,2225.7002,162.90477,895.45581,2145.89233,131.12325,876.04285
3,0.017,2173.07666,137.58183,978.29224,2219.28101,165.09822,895.57129,2137.9751,129.8022,877.24548
4,0.025,2164.39722,139.23871,976.19934,2207.13354,162.12556,894.2359,2127.62183,129.24121,875.12756
5,0.033,2156.18799,137.84352,975.87799,2200.14307,164.37004,893.89258,2118.07666,130.29596,875.20898
6,0.042,2149.60449,138.27719,975.59711,2189.23145,162.96002,892.90961,2110.2334,129.77281,874.33789
7,0.05,2140.48267,138.80952,974.64008,2180.76099,164.58499,892.68127,2100.09937,131.74742,874.13013
8,0.058,2131.58887,139.09109,972.82233,2171.77173,163.89201,890.01031,2090.90771,130.10431,873.18195
9,0.067,2124.46899,139.81735,971.66779,2163.6582,165.64539,887.93481,2083.88818,130.94565,871.88959
10,0.075,2114.3313,139.43236,970.57458,2155.7124,165.5352,887.89362,2074.74805,129.72507,870.18921
11,0.083,2107.38086,140.89822,969.73529,2146.62988,165.88986,887.66595,2066.56494,131.80843,870.01422
12,0.092,2098.0813,140.93085,968.24304,2137.82349,165.84976,885.72083,2056.50171,130.9232,867.53241
13,0.1,2089.1748,142.05359,967.58246,2129.15454,166.07535,884.71906,2047.09204,131.65834,866.94202
14,0.108,2081.13623,143.91934,966.66406,2118.56543,165.53094,882.47974,2036.35217,131.70544,866.58838
15,0.117,2070.94653,140.94553,965.19702,2110.33081,167.37094,881.62512,2028.54419,131.20576,864.71875
16,0.125,2062.58911,142.92973,965.02954,2099.22876,165.19293,879.77563,2020.45325,130.93365,864.4035
17,0.133,2051.83423,142.63589,962.60138,2091.52979,166.87459,878.19012,2010.09998,131.1498,863.29327
18,0.142,2042.68542,143.52791,962.38898,2082.56494,167.25377,876.57703,2000.35596,131.29074,861.53705
19,0.15,2035.17395,144.76028,961.24878,2073.85449,167.71411,875.83173,1991.08386,130.77632,861.28461
20,0.158,2026.7749,145.84126,958.87201,2062.56836,168.03856,874.77887,1982.52466,132.8689,860.71875
21,0.167,2017.55713,146.76933,957.40997,2052.13013,167.55942,872.008,1971.35681,131.58894,860.38531
22,0.175,2007.82593,146.49423,956.68689,2043.82556,168.27841,871.10474,1960.51392,131.39323,858.17255
23,0.183,1996.64368,146.7663,954.14551,2031.83875,169.50444,869.89142,1951.59949,132.22548,857.39099
24,0.192,1988.37708,148.88899,954.03705,2023.58508,168.67601,868.13116,1941.13574,132.09903,856.57892
25,0.2,1978.78394,148.44576,953.00049,2012.03613,169.68033,866.28748,1931.08789,131.95879,856.32117
26,0.208,1968.85522,149.56599,952.08917,2003.29138,170.549,865.79419,1920.57629,131.35493,854.61981
27,0.217,1957.93396,149.02243,950.87091,1993.60083,171.50058,866.13831,1911.85254,133.0321,854.67914
28,0.225,1949.9408,149.83257,951.69849,1982.40906,169.70535,865.20612,1902.94324,131.73898,854.96521
29,0.233,1939.03564,149.35236,951.2395,1974.55542,171.48393,864.73779,1892.42212,131.89171,854.8042
30,0.242,1928.54773,149.85379,952.55768,1964.74133,171.54605,864.91345,1883.76086,133.50706,854.16827
31,0.25,1919.68945,150.25288,952.59393,1954.47571,171.89816,865.40918,1873.46887,133.15964,853.63055
32,0.258,1909.25256,151.41566,951.63373,1944.39734,172.59471,867.06067,1862.40967,133.80547,855.8598
33,0.267,1898.78528,151.40782,953.46674,1933.83887,172.73949,866.88098,1852.6842,133.62808,857.22729
34,0.275,1889.89465,152.38481,954.48138,1924.79138,173.90567,868.11859,1844.66846,134.53055,857.13782
35,0.283,1879.90698,153.16769,955.00189,1913.41528,175.20203,867.63495,1834.69543,133.32065,857.06262
