Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,2136.81787,-7.21631,1376.78809,2139.54541,-235.6167,1387.0481,2280.36426,-20.16856,1394.86292,2290.82495,-198.51544,1400.89661,2329.323,-45.49832,1321.7301
2,0.008,2128.96899,-8.90594,1375.5354,2132.77173,-234.60478,1386.25671,2272.74438,-19.8874,1394.48889,2282.89355,-197.58022,1401.27612,2321.80615,-46.05,1321.25232
3,0.017,2121.32837,-7.69545,1375.60205,2124.13989,-236.76778,1385.54932,2265.01147,-19.16858,1393.55737,2275.55029,-197.40897,1400.26306,2314.05347,-45.6796,1320.90234
4,0.025,2114.17407,-6.54095,1374.17908,2116.75244,-236.04431,1384.89038,2256.97778,-18.6529,1393.07007,2267.9043,-197.87906,1400.31116,2305.28223,-44.96047,1320.11401
5,0.033,2104.61206,-7.61575,1373.41394,2109.25659,-234.58093,1384.5824,2249.31885,-17.74744,1393.00464,2259.87378,-196.5753,1399.70776,2297.54297,-43.7904,1319.22534
6,0.042,2095.35962,-4.78293,1371.90308,2100.75757,-235.05632,1384.03833,2240.89014,-17.28847,1391.97986,2252.20166,-196.48512,1399.82642,2289.73193,-43.38569,1318.64502
7,0.05,2088.36353,-6.94441,1371.10889,2092.0625,-233.54288,1382.81531,2232.45996,-16.76036,1391.15833,2244.11084,-195.97084,1398.75684,2282.53882,-43.10886,1318.13916
8,0.058,2080.46094,-6.03925,1369.73132,2084.82227,-233.15466,1381.39099,2224.65942,-16.70601,1390.51526,2236.39868,-195.1301,1398.37024,2274.65967,-41.80233,1316.92371
9,0.067,2073.14502,-4.80037,1368.96863,2076.98242,-233.63765,1380.86401,2216.70581,-15.02966,1388.43921,2228.23633,-194.13451,1396.90894,2266.2832,-41.37926,1315.92932
10,0.075,2061.59985,-2.38429,1367.93591,2069.17529,-231.88141,1380.04651,2209.35327,-14.30176,1387.66772,2220.43604,-192.94063,1395.91003,2259.10449,-41.27641,1315.25195
11,0.083,2054.2041,-2.05596,1366.3949,2060.22827,-231.04939,1378.99353,2201.82642,-14.06012,1386.67175,2213.05762,-192.69893,1395.81433,2250.75513,-39.40594,1313.85364
