Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-349.36044,3.25809,592.0025,-151.86819,-123.40628,631.71716,-167.14177,184.10895,612.0752
2,0.008,-349.72678,3.30736,592.26843,-151.86819,-123.40628,631.71716,-166.99879,184.0856,612.01483
3,0.017,-349.72678,3.30736,592.26843,-152.12932,-123.35522,631.67615,-167.14177,184.10895,612.0752
4,0.025,-349.56284,3.49177,592.26337,-152.02931,-123.3798,631.7453,-167.26309,184.36877,612.03979
5,0.033,-349.64117,3.50322,592.20801,-151.91327,-123.42238,631.83783,-167.14177,184.10895,612.0752
6,0.042,-349.36044,3.25809,592.0025,-151.86819,-123.40628,631.71716,-167.26309,184.36877,612.03979
7,0.05,-349.36044,3.25809,592.0025,-152.02931,-123.3798,631.7453,-167.14177,184.10895,612.0752
8,0.058,-349.72678,3.30736,592.26843,-151.86819,-123.40628,631.71716,-167.14177,184.10895,612.0752
9,0.067,-349.79254,3.52312,592.37396,-152.02931,-123.3798,631.7453,-167.14177,184.10895,612.0752
10,0.075,-349.72678,3.30736,592.26843,-151.74727,-123.43262,631.64105,-167.14177,184.10895,612.0752
11,0.083,-349.57541,3.28749,592.10248,-151.86819,-123.40628,631.71716,-167.14177,184.10895,612.0752
12,0.092,-349.4971,3.27603,592.15784,-151.74727,-123.43262,631.64105,-167.14177,184.10895,612.0752
13,0.1,-349.4971,3.27603,592.15784,-151.74727,-123.43262,631.64105,-166.97433,184.33896,612.08209
14,0.108,-349.56284,3.49177,592.26337,-151.59019,-123.47467,631.69147,-167.14177,184.10895,612.0752
15,0.117,-349.72678,3.30736,592.26843,-151.59019,-123.47467,631.69147,-167.14177,184.10895,612.0752
16,0.125,-349.36044,3.25809,592.0025,-151.59019,-123.47467,631.69147,-167.14177,184.10895,612.0752
17,0.133,-349.36044,3.25809,592.0025,-151.59019,-123.47467,631.69147,-167.14177,184.10895,612.0752
18,0.142,-349.36044,3.25809,592.0025,-151.59019,-123.47467,631.69147,-166.99879,184.0856,612.01483
19,0.15,-349.36044,3.25809,592.0025,-151.59019,-123.47467,631.69147,-166.99879,184.0856,612.01483
20,0.158,-349.2171,3.44442,591.83185,-151.59019,-123.47467,631.69147,-166.83134,184.3156,612.02167
21,0.167,-349.2171,3.44442,591.83185,-151.59019,-123.47467,631.69147,-166.83134,184.3156,612.02167
22,0.175,-349.2171,3.44442,591.83185,-151.59019,-123.47467,631.69147,-166.83134,184.3156,612.02167
23,0.183,-349.2171,3.44442,591.83185,-151.59019,-123.47467,631.69147,-166.99879,184.0856,612.01483
24,0.192,-349.36044,3.25809,592.0025,-151.42291,-123.51268,631.71252,-166.99879,184.0856,612.01483
25,0.2,-349.36044,3.25809,592.0025,-151.42291,-123.51268,631.71252,-166.99879,184.0856,612.01483
26,0.208,-349.2171,3.44442,591.83185,-151.24828,-123.54399,631.69415,-166.99879,184.0856,612.01483
27,0.217,-349.2171,3.44442,591.83185,-151.37434,-123.63755,631.67926,-166.83134,184.3156,612.02167
28,0.225,-349.2171,3.44442,591.83185,-151.39331,-123.57948,631.5072,-166.83134,184.3156,612.02167
29,0.233,-349.2171,3.44442,591.83185,-151.39331,-123.57948,631.5072,-166.83134,184.3156,612.02167
30,0.242,-349.2171,3.44442,591.83185,-151.37434,-123.63755,631.67926,-166.99879,184.0856,612.01483
31,0.25,-349.2171,3.44442,591.83185,-151.44189,-123.45461,631.54053,-166.99879,184.0856,612.01483
32,0.258,-349.2171,3.44442,591.83185,-151.60918,-123.41659,631.51947,-166.99879,184.0856,612.01483
33,0.267,-349.2171,3.44442,591.83185,-151.59019,-123.47467,631.69147,-166.99879,184.0856,612.01483
34,0.275,-349.2171,3.44442,591.83185,-151.39331,-123.57948,631.5072,-166.97433,184.33896,612.08209
35,0.283,-349.17871,3.34919,591.71252,-151.60918,-123.41659,631.51947,-166.83134,184.3156,612.02167
36,0.292,-349.2171,3.44442,591.83185,-151.56059,-123.54147,631.48615,-166.97433,184.33896,612.08209
37,0.3,-349.2171,3.44442,591.83185,-151.56059,-123.54147,631.48615,-167.14177,184.10895,612.0752
38,0.308,-349.2171,3.44442,591.83185,-151.71765,-123.49942,631.43573,-167.14177,184.10895,612.0752
39,0.317,-349.36044,3.25809,592.0025,-151.71765,-123.49942,631.43573,-167.14177,184.10895,612.0752
40,0.325,-349.35379,3.46234,591.98718,-151.76625,-123.37453,631.46899,-167.14177,184.10895,612.0752
41,0.333,-349.5835,3.49364,592.09784,-151.99083,-123.45536,631.34943,-167.14177,184.10895,612.0752
42,0.342,-349.5835,3.49364,592.09784,-151.71765,-123.49942,631.43573,-166.97433,184.33896,612.08209
43,0.35,-349.35379,3.46234,591.98718,-151.96815,-123.45906,631.39728,-167.14177,184.10895,612.0752
44,0.358,-349.72678,3.30736,592.26843,-152.0891,-123.43271,631.47339,-167.14177,184.10895,612.0752
