Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,88.60771,226.00188,524.58392,222.53996,222.54642,481.45605,242.08575,101.0358,486.85349
2,0.008,88.60771,226.00188,524.58392,222.69836,222.50639,481.64075,241.47006,101.07124,486.83258
3,0.017,88.60771,226.00188,524.58392,222.69836,222.50639,481.64075,241.83348,101.37876,486.69644
4,0.025,88.3856,225.55582,524.44128,222.69836,222.50639,481.64075,241.47006,101.07124,486.83258
5,0.033,88.3856,225.55582,524.44128,222.41745,222.50365,481.53177,241.75282,101.13884,486.93243
6,0.042,88.3856,225.55582,524.44128,222.57587,222.46362,481.71646,241.47006,101.07124,486.83258
7,0.05,88.3856,225.55582,524.44128,222.53996,222.54642,481.45605,241.47006,101.07124,486.83258
8,0.058,88.60771,226.00188,524.58392,222.40189,222.54657,481.50446,241.75282,101.13884,486.93243
9,0.067,88.60771,226.00188,524.58392,222.8299,222.84108,481.90002,241.47006,101.07124,486.83258
10,0.075,88.60771,226.00188,524.58392,222.67149,222.88115,481.71536,241.47006,101.07124,486.83258
11,0.083,88.3856,225.55582,524.44128,222.8299,222.84108,481.90002,241.75282,101.13884,486.93243
12,0.092,88.3856,225.55582,524.44128,222.39409,222.27908,481.58511,241.47006,101.07124,486.83258
13,0.1,88.30132,225.57932,524.60394,222.55252,222.23901,481.76981,241.75282,101.13884,486.93243
14,0.108,88.3856,225.55582,524.44128,222.27058,222.33205,482.08472,241.75282,101.13884,486.93243
15,0.117,88.3856,225.55582,524.44128,222.53181,223.03824,482.45721,241.47006,101.07124,486.83258
16,0.125,88.60771,226.00188,524.58392,222.67049,222.9769,482.13916,241.47006,101.07124,486.83258
17,0.133,88.60771,226.00188,524.58392,222.4086,222.99753,482.53165,241.47006,101.07124,486.83258
18,0.142,88.52344,226.02536,524.74652,222.54736,222.99529,482.48453,241.75282,101.13884,486.93243
19,0.15,88.30132,225.57932,524.60394,222.39948,222.73741,482.66904,241.75282,101.13884,486.93243
20,0.158,88.3856,225.55582,524.44128,222.26996,222.3933,482.35449,241.47006,101.07124,486.83258
21,0.167,88.3856,225.55582,524.44128,222.26996,222.3933,482.35449,241.47006,101.07124,486.83258
22,0.175,88.3856,225.55582,524.44128,222.52194,222.7803,482.59338,241.47006,101.07124,486.83258
23,0.183,88.30132,225.57932,524.60394,222.66985,223.03813,482.40884,241.75282,101.13884,486.93243
24,0.192,88.3856,225.55582,524.44128,222.32567,223.22063,482.43256,241.47006,101.07124,486.83258
25,0.2,88.3856,225.55582,524.44128,222.32567,223.22063,482.43256,241.75282,101.13884,486.93243
26,0.208,88.3856,225.55582,524.44128,222.17775,222.96281,482.61707,241.75282,101.13884,486.93243
27,0.217,88.3856,225.55582,524.44128,222.39244,222.43619,482.27878,241.47006,101.07124,486.83258
28,0.225,88.3856,225.55582,524.44128,222.26996,222.3933,482.35449,241.47006,101.07124,486.83258
29,0.233,88.30132,225.57932,524.60394,222.39244,222.43619,482.27878,241.47006,101.07124,486.83258
30,0.242,88.3856,225.55582,524.44128,222.41579,222.6608,482.22537,241.75282,101.13884,486.93243
31,0.25,88.60771,226.00188,524.58392,222.54736,222.99529,482.48453,241.75282,101.13884,486.93243
32,0.258,88.60771,226.00188,524.58392,222.32567,223.22063,482.43256,241.75282,101.13884,486.93243
33,0.267,88.3856,225.55582,524.44128,221.90317,223.01242,482.069,241.75282,101.13884,486.93243
