Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,122.63851,-238.45441,970.85577,217.39809,-269.98019,938.01031,274.42242,-183.76999,972.40259
2,0.008,122.65532,-238.38298,970.61786,217.39809,-269.98019,938.01031,274.42242,-183.76999,972.40259
3,0.017,122.53423,-238.40398,970.65503,217.3192,-270.12415,937.91846,273.89435,-183.23364,972.75665
4,0.025,122.65532,-238.38298,970.61786,217.39809,-269.98019,938.01031,274.05429,-183.13538,972.63641
5,0.033,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,273.89435,-183.23364,972.75665
6,0.042,122.47324,-238.59587,970.58374,217.3192,-270.12415,937.91846,273.89435,-183.23364,972.75665
7,0.05,122.45644,-238.66727,970.82159,217.39809,-269.98019,938.01031,274.05429,-183.13538,972.63641
8,0.058,122.62217,-238.64337,970.86182,217.3192,-270.12415,937.91846,273.89435,-183.23364,972.75665
9,0.067,122.44392,-238.84839,970.57892,217.3192,-270.12415,937.91846,274.14926,-183.29077,973.27454
10,0.075,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
11,0.083,122.47324,-238.59587,970.58374,217.3192,-270.12415,937.91846,274.52725,-183.87259,972.99298
12,0.092,122.41742,-238.95538,970.48364,217.39809,-269.98019,938.01031,274.69952,-183.91447,973.00891
13,0.1,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
14,0.108,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
15,0.117,122.46066,-238.77722,970.34113,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
16,0.125,122.46347,-238.63167,970.25061,217.3192,-270.12415,937.91846,274.55859,-184.01064,973.11768
17,0.133,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
18,0.142,122.48997,-238.52467,970.34583,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
19,0.15,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
20,0.158,122.51788,-238.59294,970.66107,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
21,0.167,122.53423,-238.40398,970.65503,217.39809,-269.98019,938.01031,274.55859,-184.01064,973.11768
22,0.175,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.55859,-184.01064,973.11768
23,0.183,122.45644,-238.66727,970.82159,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
24,0.192,122.53423,-238.40398,970.65503,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
25,0.2,122.51743,-238.47539,970.89288,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
26,0.208,122.53423,-238.40398,970.65503,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
27,0.217,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
28,0.225,122.53423,-238.40398,970.65503,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
29,0.233,122.51743,-238.47539,970.89288,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
30,0.242,122.45644,-238.66727,970.82159,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
31,0.25,122.51743,-238.47539,970.89288,217.39809,-269.98019,938.01031,274.55859,-184.01064,973.11768
32,0.258,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.52725,-183.87259,972.99298
33,0.267,122.51962,-238.14932,970.41406,217.39809,-269.98019,938.01031,274.22882,-183.77214,973.25452
34,0.275,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.22882,-183.77214,973.25452
35,0.283,122.53423,-238.40398,970.65503,217.39809,-269.98019,938.01031,274.22882,-183.77214,973.25452
36,0.292,122.47324,-238.59587,970.58374,217.39809,-269.98019,938.01031,274.22882,-183.77214,973.25452
37,0.3,122.51743,-238.47539,970.89288,217.39809,-269.98019,938.01031,274.22882,-183.77214,973.25452
