Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-205.21342,12.19317,1305.86218,-67.42252,16.32244,1236.81372,-279.43008,23.62549,1195.9165,-54.59758,17.48923,1081.87415
2,0.008,-205.13669,12.36533,1305.85193,-67.46339,16.13735,1236.94556,-279.65247,23.59152,1195.96863,-54.6079,17.57974,1081.8186
3,0.017,-205.21342,12.19317,1305.86218,-67.47944,15.7847,1236.69861,-279.65247,23.59152,1195.96863,-55.31914,18.26165,1081.71741
4,0.025,-205.09201,12.03159,1306.07617,-67.45654,15.96663,1236.57434,-279.43008,23.62549,1195.9165,-55.31914,18.26165,1081.71741
5,0.033,-205.14319,11.97892,1306.1665,-67.45654,15.96663,1236.57434,-279.43008,23.62549,1195.9165,-55.31914,18.26165,1081.71741
6,0.042,-205.18802,12.31691,1305.75757,-67.5042,15.82123,1236.36096,-279.43008,23.62549,1195.9165,-55.51731,18.28897,1081.09375
7,0.05,-205.06659,12.15528,1305.97156,-67.5042,15.82123,1236.36096,-279.79886,23.66673,1195.82446,-55.60017,18.10025,1081.00659
8,0.058,-205.13684,12.36963,1305.66711,-67.5042,15.82123,1236.36096,-279.79886,23.66673,1195.82446,-55.60017,18.10025,1081.00659
9,0.067,-205.13684,12.36963,1305.66711,-67.5042,15.82123,1236.36096,-279.79886,23.66673,1195.82446,-55.4218,17.88289,1081.17053
10,0.075,-205.18802,12.31691,1305.75757,-67.5042,15.82123,1236.36096,-279.43008,23.62549,1195.9165,-55.4218,17.88289,1081.17053
11,0.083,-205.05583,12.56163,1305.67029,-67.5042,15.82123,1236.36096,-279.65247,23.59152,1195.96863,-55.3235,17.7615,1081.05823
12,0.092,-204.97383,12.69716,1305.63318,-67.5042,15.82123,1236.36096,-279.43008,23.62549,1195.9165,-55.3235,17.7615,1081.05823
13,0.1,-205.03355,12.66588,1305.60205,-67.73679,15.3642,1236.30676,-279.65247,23.59152,1195.96863,-55.32843,17.02699,1081.11731
14,0.108,-204.96574,12.78119,1305.67358,-67.73679,15.3642,1236.30676,-279.12982,24.11192,1195.89539,-55.32843,17.02699,1081.11731
15,0.117,-204.97696,12.67765,1305.66956,-67.51534,15.30256,1236.23645,-279.10144,24.39675,1195.91321,-55.32843,17.02699,1081.11731
16,0.125,-204.95155,12.8014,1305.56494,-67.4495,15.32706,1236.07227,-279.01956,24.32091,1195.95117,-55.32843,17.02699,1081.11731
17,0.133,-204.84349,12.84033,1305.52527,-67.33111,15.18218,1236.12988,-279.01956,24.32091,1195.95117,-55.32843,17.02699,1081.11731
18,0.142,-204.44318,12.70249,1305.72827,-67.23406,15.08751,1236.17004,-278.83301,24.5559,1196.01575,-55.30746,16.83727,1080.99121
19,0.15,-204.03656,12.53654,1305.68677,-67.10965,15.12058,1236.05957,-278.83301,24.5559,1196.01575,-55.30746,16.83727,1080.99121
20,0.158,-204.02235,12.55676,1305.578,-66.87923,14.85671,1235.98059,-278.83301,24.5559,1196.01575,-55.40354,16.68295,1080.93066
21,0.167,-204.02235,12.55676,1305.578,-66.87923,14.85671,1235.98059,-278.83301,24.5559,1196.01575,-55.17457,16.42729,1080.74341
22,0.175,-203.8329,12.45376,1305.54724,-66.72469,14.9581,1235.96948,-278.66724,24.77477,1195.91443,-55.36196,16.4671,1080.8717
