Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,270.32382,147.04379,287.23984,192.66435,166.72652,71.33707,217.86467,73.45156,96.07792
2,0.008,270.15646,146.92892,287.17065,192.66435,166.72652,71.33707,217.86467,73.45156,96.07792
3,0.017,270.32382,147.04379,287.23984,192.59529,166.57957,71.55665,218.07336,73.40079,95.69944
4,0.025,270.32382,147.04379,287.23984,192.74544,166.62129,71.49101,217.86467,73.45156,96.07792
5,0.033,270.15646,146.92892,287.17065,192.85867,166.6602,71.47014,218.08792,73.39486,95.93525
6,0.042,270.15646,146.92892,287.17065,192.85867,166.6602,71.47014,217.86467,73.45156,96.07792
7,0.05,270.15646,146.92892,287.17065,192.85867,166.6602,71.47014,217.86467,73.45156,96.07792
8,0.058,270.15646,146.92892,287.17065,192.85867,166.6602,71.47014,217.86467,73.45156,96.07792
9,0.067,270.32382,147.04379,287.23984,192.85867,166.6602,71.47014,217.86467,73.45156,96.07792
10,0.075,270.32382,147.04379,287.23984,192.81319,166.38947,71.47314,218.08792,73.39486,95.93525
11,0.083,270.32382,147.04379,287.23984,192.85867,166.6602,71.47014,218.08792,73.39486,95.93525
12,0.092,270.15646,146.92892,287.17065,192.66304,166.34773,71.53879,218.08792,73.39486,95.93525
13,0.1,270.32382,147.04379,287.23984,192.85867,166.6602,71.47014,218.06381,73.35101,96.06252
14,0.108,270.15646,146.92892,287.17065,192.70854,166.61848,71.53579,218.06381,73.35101,96.06252
15,0.117,270.15646,146.92892,287.17065,192.66435,166.72652,71.33707,218.08792,73.39486,95.93525
16,0.125,270.15646,146.92892,287.17065,192.91299,166.40752,71.23283,218.08792,73.39486,95.93525
17,0.133,270.32382,147.04379,287.23984,192.85867,166.6602,71.47014,218.08792,73.39486,95.93525
18,0.142,269.96103,147.00656,287.44492,192.85867,166.6602,71.47014,218.08792,73.39486,95.93525
19,0.15,269.96103,147.00656,287.44492,192.85867,166.6602,71.47014,218.08792,73.39486,95.93525
20,0.158,269.96103,147.00656,287.44492,192.85867,166.6602,71.47014,218.08792,73.39486,95.93525
21,0.167,269.96103,147.00656,287.44492,192.91299,166.40752,71.23283,217.84056,73.40773,96.20519
22,0.175,270.15646,146.92892,287.17065,192.91299,166.40752,71.23283,218.08792,73.39486,95.93525
23,0.183,270.15646,146.92892,287.17065,192.91299,166.40752,71.23283,218.08792,73.39486,95.93525
24,0.192,269.96103,147.00656,287.44492,192.76283,166.36581,71.2985,218.08792,73.39486,95.93525
25,0.2,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
26,0.208,269.90854,146.49928,287.10092,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
27,0.217,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
28,0.225,270.15646,146.92892,287.17065,192.91299,166.40752,71.23283,217.86467,73.45156,96.07792
29,0.233,270.15646,146.92892,287.17065,192.91299,166.40752,71.23283,218.08792,73.39486,95.93525
30,0.242,269.96103,147.00656,287.44492,192.91299,166.40752,71.23283,218.33719,73.11508,95.67319
31,0.25,269.71304,146.57689,287.37524,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
32,0.258,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
33,0.267,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.84056,73.40773,96.20519
34,0.275,269.90854,146.49928,287.10092,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
35,0.283,270.15646,146.92892,287.17065,192.66435,166.72652,71.33707,217.86467,73.45156,96.07792
36,0.292,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
37,0.3,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
38,0.308,269.91446,147.46191,287.22546,192.71866,166.47385,71.09975,217.74545,73.49377,96.15712
39,0.317,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.74545,73.49377,96.15712
40,0.325,269.91446,147.46191,287.22546,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
41,0.333,269.91446,147.46191,287.22546,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
42,0.342,270.15646,146.92892,287.17065,192.71866,166.47385,71.09975,217.86467,73.45156,96.07792
43,0.35,269.91446,147.46191,287.22546,192.66435,166.72652,71.33707,217.84056,73.40773,96.20519
