Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
2,0.008,268.48254,136.29132,287.31238,192.34781,164.69153,73.22474,216.67648,68.6292,93.97723
3,0.017,268.13669,136.46545,287.27533,192.21599,164.47908,73.26022,216.49861,68.5471,94.01646
4,0.025,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
5,0.033,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.37186,68.72218,93.97463
6,0.042,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
7,0.05,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
8,0.058,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.37186,68.72218,93.97463
9,0.067,268.13669,136.46545,287.27533,192.13979,165.13545,73.4726,216.49861,68.5471,94.01646
10,0.075,268.48254,136.29132,287.31238,192.13979,165.13545,73.4726,216.49861,68.5471,94.01646
11,0.083,268.13669,136.46545,287.27533,192.13979,165.13545,73.4726,216.49861,68.5471,94.01646
12,0.092,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
13,0.1,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
14,0.108,268.13669,136.46545,287.27533,192.34233,165.4086,73.37389,216.37186,68.72218,93.97463
15,0.117,268.48254,136.29132,287.31238,192.47592,165.67062,73.3544,216.37186,68.72218,93.97463
16,0.125,268.01532,136.87164,287.19226,192.47592,165.67062,73.3544,216.49861,68.5471,94.01646
17,0.133,268.01532,136.87164,287.19226,192.22725,165.29977,73.18245,216.49861,68.5471,94.01646
18,0.142,268.01532,136.87164,287.19226,192.27335,165.39755,73.45313,216.35365,68.94765,93.91428
19,0.15,268.01532,136.87164,287.19226,192.27335,165.39755,73.45313,216.48041,68.77253,93.95612
20,0.158,268.35101,136.69688,287.24841,192.69597,165.50192,72.93723,216.35365,68.94765,93.91428
21,0.167,268.01532,136.87164,287.19226,192.69597,165.50192,72.93723,216.37186,68.72218,93.97463
22,0.175,268.35101,136.69688,287.24841,192.88541,165.13785,72.65852,216.49861,68.5471,94.01646
23,0.183,268.35101,136.69688,287.24841,192.66264,165.12126,72.79209,216.37186,68.72218,93.97463
24,0.192,268.01532,136.87164,287.19226,192.56239,165.23988,72.95672,216.48041,68.77253,93.95612
25,0.2,268.35101,136.69688,287.24841,192.56239,165.23988,72.95672,216.48041,68.77253,93.95612
26,0.208,268.35101,136.69688,287.24841,192.42538,164.96101,72.82099,216.35365,68.94765,93.91428
27,0.217,268.35101,136.69688,287.24841,192.62791,165.23407,72.72229,216.48041,68.77253,93.95612
28,0.225,268.35101,136.69688,287.24841,192.61061,164.91197,72.61166,216.48041,68.77253,93.95612
29,0.233,268.35101,136.69688,287.24841,192.76147,165.49609,72.70282,216.37186,68.72218,93.97463
30,0.242,268.35101,136.69688,287.24841,192.80652,164.92293,72.91362,216.49861,68.5471,94.01646
31,0.25,268.22784,136.46967,287.10278,192.75185,164.87581,72.67798,216.54973,68.8043,93.9354
32,0.258,268.51038,137.0148,287.21988,192.42538,164.96101,72.82099,216.65828,68.85466,93.91688
33,0.267,268.35101,136.69688,287.24841,192.55893,165.2231,72.80154,216.65828,68.85466,93.91688
34,0.275,268.35101,136.69688,287.24841,192.55893,165.2231,72.80154,216.48041,68.77253,93.95612
35,0.283,268.51038,137.0148,287.21988,192.76147,165.49609,72.70282,216.65828,68.85466,93.91688
36,0.292,268.51038,137.0148,287.21988,192.76147,165.49609,72.70282,216.67648,68.6292,93.97723
37,0.3,268.51038,137.0148,287.21988,192.81989,165.14368,72.89295,216.49861,68.5471,94.01646
38,0.308,268.51038,137.0148,287.21988,192.81586,164.8614,72.96952,216.67648,68.6292,93.97723
39,0.317,268.51038,137.0148,287.21988,192.40596,165.06459,73.32613,216.67648,68.6292,93.97723
40,0.325,268.63818,136.60027,287.30124,192.53951,165.32668,73.30666,216.54973,68.8043,93.9354
41,0.333,268.76501,136.83646,287.42941,192.49341,165.22888,73.03596,216.67648,68.6292,93.97723
42,0.342,268.76501,136.83646,287.42941,192.53951,165.32668,73.30666,216.37186,68.72218,93.97463
43,0.35,268.76501,136.83646,287.42941,192.13979,165.13545,73.4726,216.54973,68.8043,93.9354
44,0.358,268.76501,136.83646,287.42941,192.13979,165.13545,73.4726,216.67648,68.6292,93.97723
45,0.367,268.63818,136.60027,287.30124,192.34781,164.69153,73.22474,216.49861,68.5471,94.01646
46,0.375,268.76501,136.83646,287.42941,192.27335,165.39755,73.45313,216.37186,68.72218,93.97463
47,0.383,268.63818,136.60027,287.30124,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
48,0.392,268.63818,136.60027,287.30124,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
49,0.4,268.63818,136.60027,287.30124,192.21599,164.47908,73.26022,216.54973,68.8043,93.9354
50,0.408,268.63818,136.60027,287.30124,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
51,0.417,268.63818,136.60027,287.30124,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
52,0.425,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.37186,68.72218,93.97463
53,0.433,268.48254,136.29132,287.31238,192.34781,164.69153,73.22474,216.49861,68.5471,94.01646
54,0.442,268.48254,136.29132,287.31238,192.40581,164.9886,73.37383,216.49861,68.5471,94.01646
55,0.45,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
56,0.458,268.48254,136.29132,287.31238,192.21599,164.47908,73.26022,216.49861,68.5471,94.01646
57,0.467,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
58,0.475,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
59,0.483,268.13669,136.46545,287.27533,192.40581,164.9886,73.37383,216.67648,68.6292,93.97723
60,0.492,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.54973,68.8043,93.9354
61,0.5,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.49861,68.5471,94.01646
62,0.508,268.48254,136.29132,287.31238,192.40581,164.9886,73.37383,216.54973,68.8043,93.9354
63,0.517,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
64,0.525,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
65,0.533,268.13669,136.46545,287.27533,192.40581,164.9886,73.37383,216.54973,68.8043,93.9354
66,0.542,268.13669,136.46545,287.27533,192.40581,164.9886,73.37383,216.49861,68.5471,94.01646
67,0.55,268.48254,136.29132,287.31238,192.27335,165.39755,73.45313,217.95746,70.22967,94.04591
68,0.558,268.48254,136.29132,287.31238,192.27335,165.39755,73.45313,216.37186,68.72218,93.97463
69,0.567,268.48254,136.29132,287.31238,192.27335,165.39755,73.45313,216.37186,68.72218,93.97463
70,0.575,268.48254,136.29132,287.31238,192.27225,164.7265,73.39329,216.37186,68.72218,93.97463
71,0.583,268.63818,136.60027,287.30124,192.40581,164.9886,73.37383,216.49861,68.5471,94.01646
72,0.592,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.37186,68.72218,93.97463
73,0.6,268.48254,136.29132,287.31238,192.40581,164.9886,73.37383,216.37186,68.72218,93.97463
74,0.608,268.13669,136.46545,287.27533,192.27225,164.7265,73.39329,216.67648,68.6292,93.97723
75,0.617,268.48254,136.29132,287.31238,192.13979,165.13545,73.4726,216.49861,68.5471,94.01646
76,0.625,268.48254,136.29132,287.31238,192.13979,165.13545,73.4726,216.65828,68.85466,93.91688
77,0.633,268.13669,136.46545,287.27533,192.27335,165.39755,73.45313,216.48041,68.77253,93.95612
78,0.642,268.48254,136.29132,287.31238,192.13979,165.13545,73.4726,216.67648,68.6292,93.97723
79,0.65,268.01532,136.87164,287.19226,192.34233,165.4086,73.37389,216.49861,68.5471,94.01646
80,0.658,267.89209,136.64441,287.0466,192.5537,165.21465,73.03946,216.49861,68.5471,94.01646
81,0.667,268.48254,136.29132,287.31238,192.47479,164.99965,73.29456,216.49861,68.5471,94.01646
82,0.675,268.48254,136.29132,287.31238,192.27335,165.39755,73.45313,216.49861,68.5471,94.01646
83,0.683,268.35101,136.69688,287.24841,192.27335,165.39755,73.45313,216.48041,68.77253,93.95612
84,0.692,268.35101,136.69688,287.24841,192.22725,165.29977,73.18245,216.48041,68.77253,93.95612
85,0.7,268.01532,136.87164,287.19226,192.29623,165.31081,73.1032,216.35365,68.94765,93.91428
86,0.708,267.89209,136.64441,287.0466,192.42982,165.57285,73.08371,216.5992,68.8998,93.96895
87,0.717,268.35101,136.69688,287.24841,192.51076,165.56189,72.85606,216.65828,68.85466,93.91688
88,0.725,267.89209,136.64441,287.0466,192.56239,165.23988,72.95672,216.35365,68.94765,93.91428
89,0.733,268.01532,136.87164,287.19226,192.76147,165.49609,72.70282,216.49861,68.5471,94.01646
90,0.742,268.01532,136.87164,287.19226,192.76147,165.49609,72.70282,218.11108,70.30975,94.02231
91,0.75,268.01532,136.87164,287.19226,192.76147,165.49609,72.70282,218.11108,70.30975,94.02231
92,0.758,268.01532,136.87164,287.19226,192.76147,165.49609,72.70282,217.95406,70.48804,93.9963
