Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,72.48582,-207.92122,551.28101,213.2224,-161.90659,570.44678,223.42073,-229.28778,493.52875,245.19962,-107.04792,492.92337
2,0.008,72.52679,-208.02055,551.14417,213.26535,-161.89702,570.37195,223.42073,-229.28778,493.52875,245.19962,-107.04792,492.92337
3,0.017,72.4371,-207.86465,551.12128,213.2224,-161.90659,570.44678,223.42073,-229.28778,493.52875,245.14252,-106.97437,493.05154
4,0.025,72.52273,-208.23868,551.2326,213.22466,-162.0331,570.31519,223.56105,-229.17177,493.55527,245.14252,-106.97437,493.05154
5,0.033,72.4371,-207.86465,551.12128,213.2224,-161.90659,570.44678,223.56105,-229.17177,493.55527,245.19962,-107.04792,492.92337
6,0.042,72.4371,-207.86465,551.12128,213.2224,-161.90659,570.44678,223.56105,-229.17177,493.55527,245.19962,-107.04792,492.92337
7,0.05,72.4371,-207.86465,551.12128,213.26535,-161.89702,570.37195,223.56105,-229.17177,493.55527,245.19962,-107.04792,492.92337
8,0.058,72.47401,-208.18214,551.07294,213.11197,-161.96515,570.34247,223.56105,-229.17177,493.55527,245.19962,-107.04792,492.92337
9,0.067,72.38431,-208.02626,551.05011,213.2224,-161.90659,570.44678,223.53845,-228.92218,493.59775,245.11833,-107.04445,493.1564
10,0.075,72.38431,-208.02626,551.05011,213.26535,-161.89702,570.37195,223.42073,-229.28778,493.52875,245.17543,-107.118,493.02823
11,0.083,72.47401,-208.18214,551.07294,213.26535,-161.89702,570.37195,223.56105,-229.17177,493.55527,245.17543,-107.118,493.02823
12,0.092,72.38431,-208.02626,551.05011,213.2224,-161.90659,570.44678,223.56105,-229.17177,493.55527,245.17543,-107.118,493.02823
13,0.1,72.47401,-208.18214,551.07294,213.15266,-161.82906,570.39923,223.42073,-229.28778,493.52875,245.11833,-107.04445,493.1564
14,0.108,72.38431,-208.02626,551.05011,213.1817,-162.04268,570.39001,223.42073,-229.28778,493.52875,245.17543,-107.118,493.02823
15,0.117,72.51543,-208.13989,550.95416,213.11197,-161.96515,570.34247,223.42073,-229.28778,493.52875,245.17543,-107.118,493.02823
16,0.125,72.47401,-208.18214,551.07294,213.2224,-161.90659,570.44678,223.26831,-229.38051,493.52286,245.11833,-107.04445,493.1564
17,0.133,72.47401,-208.18214,551.07294,213.1817,-162.04268,570.39001,223.26831,-229.38051,493.52286,245.17543,-107.118,493.02823
18,0.142,72.47401,-208.18214,551.07294,213.10416,-162.09259,570.43115,223.26831,-229.38051,493.52286,245.07602,-107.38389,492.86667
19,0.15,72.51543,-208.13989,550.95416,213.06737,-162.181,570.49542,223.26831,-229.38051,493.52286,245.17543,-107.118,493.02823
20,0.158,72.47401,-208.18214,551.07294,213.09669,-162.21663,570.37158,223.26831,-229.38051,493.52286,245.23764,-107.1955,493.25427
21,0.167,72.25475,-208.103,550.86633,213.10416,-162.09259,570.43115,223.26831,-229.38051,493.52286,245.19534,-107.53494,492.96454
22,0.175,72.47401,-208.18214,551.07294,213.03647,-162.30618,570.53247,223.26831,-229.38051,493.52286,245.17543,-107.118,493.02823
23,0.183,72.42567,-208.21831,551.00647,213.00009,-162.30432,570.36102,223.26831,-229.38051,493.52286,245.17543,-107.118,493.02823
24,0.192,72.33135,-208.09177,550.95093,213.06737,-162.181,570.49542,223.26831,-229.38051,493.52286,245.17543,-107.118,493.02823
25,0.2,72.29491,-208.03937,550.78455,212.98814,-161.97942,570.25958,223.11664,-229.31929,493.42429,245.07602,-107.38389,492.86667
26,0.208,72.20209,-208.04839,550.68408,213.00339,-162.02699,570.39221,223.07904,-229.02966,493.2868,245.29475,-107.26906,493.1261
27,0.217,72.20209,-208.04839,550.68408,213.08093,-161.97707,570.35107,223.26907,-229.22658,493.43018,245.11833,-107.04445,493.1564
28,0.225,72.20209,-208.04839,550.68408,213.1239,-161.9675,570.27625,223.26907,-229.22658,493.43018,245.17543,-107.118,493.02823
29,0.233,72.2394,-208.01234,550.55817,213.04218,-162.01651,570.38397,223.11664,-229.31929,493.42429,245.17543,-107.118,493.02823
30,0.242,72.2394,-208.01234,550.55817,213.1817,-162.04268,570.39001,223.26907,-229.22658,493.43018,245.07602,-107.38389,492.86667
31,0.25,72.2394,-208.01234,550.55817,213.17424,-162.1667,570.33044,223.26907,-229.22658,493.43018,245.07602,-107.38389,492.86667
32,0.258,72.20209,-208.04839,550.68408,213.1817,-162.04268,570.39001,223.11664,-229.31929,493.42429,245.17543,-107.118,493.02823
33,0.267,72.2394,-208.01234,550.55817,213.1817,-162.04268,570.39001,223.26907,-229.22658,493.43018,245.17543,-107.118,493.02823
34,0.275,72.2394,-208.01234,550.55817,213.1817,-162.04268,570.39001,223.38315,-228.99815,493.39127,245.17543,-107.118,493.02823
35,0.283,72.2394,-208.01234,550.55817,213.26535,-161.89702,570.37195,223.26831,-229.38051,493.52286,245.19962,-107.04792,492.92337
36,0.292,72.2394,-208.01234,550.55817,213.25479,-162.05202,570.21967,223.26907,-229.22658,493.43018,245.19962,-107.04792,492.92337
37,0.3,72.2394,-208.01234,550.55817,213.1817,-162.04268,570.39001,223.26907,-229.22658,493.43018,245.19962,-107.04792,492.92337
38,0.308,72.2394,-208.01234,550.55817,213.26535,-161.89702,570.37195,223.26907,-229.22658,493.43018,245.19962,-107.04792,492.92337
39,0.317,72.2165,-208.20337,550.3028,213.22466,-162.0331,570.31519,223.26907,-229.22658,493.43018,245.21953,-107.46487,492.85968
40,0.325,72.31337,-208.03456,550.41711,213.22466,-162.0331,570.31519,223.36841,-229.29558,493.48245,245.19962,-107.04792,492.92337
41,0.333,72.27605,-208.07063,550.54297,213.17424,-162.1667,570.33044,223.09602,-229.4406,493.34891,245.31894,-107.19898,493.02124
42,0.342,72.2165,-208.20337,550.3028,213.09613,-162.38016,570.26746,223.50826,-229.47995,493.50101,245.31894,-107.19898,493.02124
43,0.35,72.27605,-208.07063,550.54297,213.21719,-162.15714,570.25562,223.24768,-229.50182,493.44748,245.31894,-107.19898,493.02124
44,0.358,72.14254,-208.18118,550.44391,213.17369,-162.33023,570.22632,223.19536,-229.5096,493.40118,245.21953,-107.46487,492.85968
45,0.367,72.2165,-208.20337,550.3028,213.16858,-162.33293,570.40869,223.09602,-229.4406,493.34891,245.26036,-107.83998,492.92197
46,0.375,72.14254,-208.18118,550.44391,213.17369,-162.33023,570.22632,223.09602,-229.4406,493.34891,245.26036,-107.83998,492.92197
47,0.383,72.17918,-208.23944,550.42871,213.20316,-162.29259,570.44238,223.21597,-229.38829,493.47656,245.26036,-107.83998,492.92197
48,0.392,72.10523,-208.21724,550.56982,213.17369,-162.33023,570.22632,223.11664,-229.31929,493.42429,245.26036,-107.83998,492.92197
49,0.4,72.14254,-208.18118,550.44391,213.17369,-162.33023,570.22632,223.09602,-229.4406,493.34891,245.35976,-107.57413,493.0835
50,0.408,72.14254,-208.18118,550.44391,213.17369,-162.33023,570.22632,223.11664,-229.31929,493.42429,245.14101,-107.6889,492.82407
51,0.417,72.14254,-208.18118,550.44391,213.17409,-162.25328,570.32574,223.26907,-229.22658,493.43018,245.24043,-107.42305,492.98563
52,0.425,72.14254,-208.18118,550.44391,213.09669,-162.21663,570.37158,223.09602,-229.4406,493.34891,245.14101,-107.6889,492.82407
53,0.433,72.36612,-208.35117,550.7663,213.21719,-162.15714,570.25562,223.42073,-229.28778,493.52875,245.14101,-107.6889,492.82407
54,0.442,72.36612,-208.35117,550.7663,213.21719,-162.15714,570.25562,223.42073,-229.28778,493.52875,245.19962,-107.04792,492.92337
55,0.45,72.36612,-208.35117,550.7663,213.22466,-162.0331,570.31519,223.42073,-229.28778,493.52875,245.19962,-107.04792,492.92337
56,0.458,72.3288,-208.38718,550.89221,213.17424,-162.1667,570.33044,223.42073,-229.28778,493.52875,245.1002,-107.31381,492.76181
57,0.467,72.3288,-208.38718,550.89221,213.22466,-162.0331,570.31519,223.42073,-229.28778,493.52875,245.1002,-107.31381,492.76181
58,0.475,72.29207,-208.06699,550.74042,213.1817,-162.04268,570.39001,223.42073,-229.28778,493.52875,245.19962,-107.04792,492.92337
59,0.483,72.46299,-208.1823,550.88062,213.26535,-161.89702,570.37195,223.11664,-229.31929,493.42429,245.19962,-107.04792,492.92337
