Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,146.56248,64.31031,1699.68042,270.43097,60.03833,1608.94885,53.78437,70.36169,1603.03699,257.3963,54.19216,1455.04712
2,0.008,147.14629,64.83469,1699.56836,270.49332,60.06317,1608.88037,53.78437,70.36169,1603.03699,257.3963,54.19216,1455.04712
3,0.017,147.14629,64.83469,1699.56836,270.97501,60.3988,1608.93481,54.17231,70.919,1603.03784,257.68906,54.13812,1454.80701
4,0.025,147.23428,64.78132,1699.63733,270.97501,60.3988,1608.93481,54.3287,71.15224,1603.20459,257.62582,53.88324,1454.46973
5,0.033,147.3756,64.64456,1699.68164,271.28769,60.34226,1608.62402,54.61282,70.92186,1603.12817,257.62582,53.88324,1454.46973
6,0.042,147.3756,64.64456,1699.68164,271.28769,60.34226,1608.62402,54.57583,71.04163,1603.1897,258.09888,54.06218,1454.47107
7,0.05,148.1203,64.4047,1699.71619,271.38705,60.33976,1608.43225,54.72857,71.15972,1603.16309,257.62582,53.88324,1454.46973
8,0.058,148.1203,64.4047,1699.71619,271.38705,60.33976,1608.43225,54.65776,71.23537,1603.37573,258.19083,53.01609,1454.36755
9,0.067,148.23065,64.51968,1699.61414,271.36661,60.1819,1608.28699,55.06968,71.66909,1603.47754,257.56219,52.22411,1453.73401
10,0.075,148.46275,64.72576,1699.52454,271.36661,60.1819,1608.28699,55.1035,71.71326,1603.32629,257.56219,52.22411,1453.73401
11,0.083,148.64424,64.89703,1699.40466,271.51794,60.26153,1608.27673,55.58415,71.80046,1603.57776,258.02121,52.28582,1453.57166
12,0.092,149.23187,65.27865,1699.14709,271.55383,60.1748,1608.19104,55.69969,71.97138,1603.61157,258.23508,52.39143,1453.38733
13,0.1,149.23187,65.27865,1699.14709,272.51901,58.93778,1608.06543,55.82996,72.28619,1603.58459,258.37262,52.26778,1453.13123
14,0.108,149.48019,65.4771,1699.07324,272.51901,58.93778,1608.06543,55.74539,72.603,1603.73535,258.37262,52.26778,1453.13123
15,0.117,149.48019,65.4771,1699.07324,272.51901,58.93778,1608.06543,55.77354,72.78217,1603.53357,258.61847,52.3513,1452.97144
