Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,32.96457,-101.60192,53.78483,252.05379,-155.16098,40.74207,197.72656,-107.91089,67.79168
2,0.008,32.99591,-101.47469,53.60832,251.93655,-155.1058,40.90572,197.70535,-107.58786,67.71543
3,0.017,32.94122,-101.19835,53.55842,251.93655,-155.1058,40.90572,197.79408,-107.7914,67.71066
4,0.025,33.3769,-101.08169,53.67476,252.03789,-155.16875,40.82537,197.64781,-108.08074,67.82188
5,0.033,33.08325,-101.54414,53.89594,252.05379,-155.16098,40.74207,197.72656,-107.91089,67.79168
6,0.042,33.27323,-101.54034,53.77688,252.05379,-155.16098,40.74207,197.98502,-107.92968,67.67419
7,0.05,32.99213,-101.25336,53.43695,252.03789,-155.16875,40.82537,197.79408,-107.7914,67.71066
8,0.058,33.10922,-101.00244,53.66617,251.92148,-155.14313,40.88546,197.72656,-107.91089,67.79168
9,0.067,33.13233,-100.96057,53.63816,252.05379,-155.16098,40.74207,197.79408,-107.7914,67.71066
10,0.075,33.03946,-100.97941,53.66034,252.0278,-154.96744,40.66373,197.79408,-107.7914,67.71066
11,0.083,33.18008,-101.07173,53.82695,252.05379,-155.16098,40.74207,197.98502,-107.92968,67.67419
12,0.092,33.35257,-100.84373,53.75782,252.0119,-154.9752,40.74703,197.79408,-107.7914,67.71066
13,0.1,33.07376,-101.11067,53.78196,252.0278,-154.96744,40.66373,197.79408,-107.7914,67.71066
14,0.108,33.18008,-101.07173,53.82695,252.05379,-155.16098,40.74207,197.79408,-107.7914,67.71066
15,0.117,33.18008,-101.07173,53.82695,252.10213,-155.1458,40.68299,197.98502,-107.92968,67.67419
16,0.125,33.23476,-101.3481,53.87683,252.03789,-155.16875,40.82537,197.79408,-107.7914,67.71066
17,0.133,33.21571,-100.97273,53.76255,252.0278,-154.96744,40.66373,197.79408,-107.7914,67.71066
18,0.142,33.18008,-101.07173,53.82695,252.0278,-154.96744,40.66373,197.72656,-107.91089,67.79168
19,0.15,33.18008,-101.07173,53.82695,252.0119,-154.9752,40.74703,197.79408,-107.7914,67.71066
20,0.158,33.21571,-100.97273,53.76255,252.0119,-154.9752,40.74703,197.79408,-107.7914,67.71066
21,0.167,33.3213,-101.1062,53.90337,252.0119,-154.9752,40.74703,197.79408,-107.7914,67.71066
22,0.175,33.18008,-101.07173,53.82695,252.0278,-154.96744,40.66373,197.89304,-107.57362,67.69244
23,0.183,33.49381,-100.8782,53.83424,252.68439,-154.18161,40.98538,197.89304,-107.57362,67.69244
24,0.192,33.35257,-100.84373,53.75782,252.68439,-154.18161,40.98538,197.98502,-107.92968,67.67419
25,0.2,33.49381,-100.8782,53.83424,252.0278,-154.96744,40.66373,197.79408,-107.7914,67.71066
26,0.208,33.30045,-100.89372,53.92194,252.0278,-154.96744,40.66373,197.98502,-107.92968,67.67419
27,0.217,33.21571,-100.97273,53.76255,252.0278,-154.96744,40.66373,197.79408,-107.7914,67.71066
28,0.225,33.35257,-100.84373,53.75782,252.78262,-154.27652,40.92682,197.89304,-107.57362,67.69244
29,0.233,33.49381,-100.8782,53.83424,252.0278,-154.96744,40.66373,198.084,-107.71194,67.65598
30,0.242,33.49381,-100.8782,53.83424,252.0278,-154.96744,40.66373,197.89304,-107.57362,67.69244
31,0.25,33.3213,-101.1062,53.90337,252.09412,-155.07558,40.76665,197.89304,-107.57362,67.69244
32,0.258,33.25103,-100.9938,53.99262,252.91843,-154.21794,40.93759,197.98502,-107.92968,67.67419
33,0.267,33.49381,-100.8782,53.83424,252.76775,-154.27826,41.00024,198.084,-107.71194,67.65598
34,0.275,33.49381,-100.8782,53.83424,252.69928,-154.17987,40.91196,197.89304,-107.57362,67.69244
35,0.283,33.35694,-101.00721,53.83898,252.73155,-153.99361,40.90847,198.084,-107.71194,67.65598
36,0.292,33.42353,-100.76581,53.9235,252.0278,-154.96744,40.66373,198.084,-107.71194,67.65598
37,0.3,33.42353,-100.76581,53.9235,252.82657,-154.27065,40.87493,198.084,-107.71194,67.65598
38,0.308,33.49381,-100.8782,53.83424,252.74323,-154.174,40.86007,198.084,-107.71194,67.65598
39,0.317,33.35694,-101.00721,53.83898,252.68439,-154.18161,40.98538,198.084,-107.71194,67.65598
40,0.325,33.3213,-101.1062,53.90337,252.76775,-154.27826,41.00024,198.084,-107.71194,67.65598
41,0.333,33.35694,-101.00721,53.83898,252.69928,-154.17987,40.91196,198.084,-107.71194,67.65598
42,0.342,33.49381,-100.8782,53.83424,252.69928,-154.17987,40.91196,197.89304,-107.57362,67.69244
43,0.35,33.18002,-101.26721,54.08498,252.69928,-154.17987,40.91196,198.084,-107.71194,67.65598
44,0.358,33.49381,-100.8782,53.83424,252.97273,-154.31874,40.93092,198.084,-107.71194,67.65598
45,0.367,33.42353,-100.76581,53.9235,252.76775,-154.27826,41.00024,197.98502,-107.92968,67.67419
46,0.375,33.4191,-100.79782,54.10039,252.78262,-154.27652,40.92682,198.084,-107.71194,67.65598
47,0.383,33.4191,-100.79782,54.10039,252.78262,-154.27652,40.92682,198.084,-107.71194,67.65598
48,0.392,33.31565,-100.71918,54.06319,252.88937,-154.22208,40.91606,198.084,-107.71194,67.65598
49,0.4,33.42353,-100.76581,53.9235,252.76775,-154.27826,41.00024,198.084,-107.71194,67.65598
50,0.408,33.48938,-100.91022,54.01115,252.68137,-154.03923,40.95639,197.89304,-107.57362,67.69244
51,0.417,33.48938,-100.91022,54.01115,252.0278,-154.96744,40.66373,198.084,-107.71194,67.65598
