Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,-50.61792,-222.23425,1052.97131,3.95737,-401.56854,966.49579,-11.66084,-379.61401,885.35193
2,0.008,-50.48437,-222.23981,1053.22266,3.90413,-401.4393,966.64197,-11.71216,-379.6416,885.4856
3,0.017,-50.37586,-222.10133,1053.15747,3.94036,-401.36264,966.69318,-11.71216,-379.6416,885.4856
4,0.025,-50.3947,-222.23569,1053.30688,3.96662,-401.30426,966.76685,-11.99359,-380.20377,885.46686
5,0.033,-50.28619,-222.0972,1053.2417,3.96662,-401.30426,966.76685,-12.05094,-380.22913,885.60181
6,0.042,-50.28619,-222.0972,1053.2417,3.96662,-401.30426,966.76685,-12.10065,-380.25119,885.71875
7,0.05,-50.28619,-222.0972,1053.2417,3.91045,-401.15027,966.84583,-11.65746,-379.75623,885.71844
8,0.058,-50.32684,-222.02861,1053.32239,3.91045,-401.15027,966.84583,-11.70882,-379.78406,885.85211
9,0.067,-50.32684,-222.02861,1053.32239,3.91753,-400.93051,966.84595,-11.57036,-379.62192,885.94586
10,0.075,-50.32684,-222.02861,1053.32239,3.91753,-400.93051,966.84595,-11.70882,-379.78406,885.85211
11,0.083,-50.40156,-221.87225,1053.44482,3.91753,-400.93051,966.84595,-12.07494,-380.31427,885.85181
12,0.092,-50.43536,-222.1671,1053.38757,3.84446,-400.68097,966.91583,-11.94992,-380.40491,885.93732
13,0.1,-50.43536,-222.1671,1053.38757,3.83736,-400.90073,966.91571,-12.07494,-380.31427,885.85181
14,0.108,-50.43536,-222.1671,1053.38757,3.91045,-401.15027,966.84583,-12.07494,-380.31427,885.85181
15,0.117,-50.43536,-222.1671,1053.38757,3.91753,-400.93051,966.84595,-11.65872,-379.63187,885.93469
16,0.125,-50.40156,-221.87225,1053.44482,3.91753,-400.93051,966.84595,-11.77142,-379.798,885.56171
17,0.133,-50.40156,-221.87225,1053.44482,3.77211,-400.8425,966.72382,-11.79859,-379.26382,885.47485
18,0.142,-50.5461,-222.13396,1053.31775,3.69904,-400.59293,966.7937,-12.1647,-379.79407,885.47467
19,0.15,-50.63881,-222.13284,1053.2356,3.69904,-400.59293,966.7937,-12.06493,-379.91904,885.49365
20,0.158,-50.65036,-221.88567,1053.28076,3.77211,-400.8425,966.72382,-12.1134,-379.76648,885.341
21,0.167,-50.9193,-222.18466,1053.19543,3.77211,-400.8425,966.72382,-12.50829,-379.59436,885.19849
22,0.175,-51.31445,-222.026,1053.04724,3.64912,-400.94421,966.68378,-12.14212,-379.06412,885.19867
23,0.183,-51.31445,-222.026,1053.04724,3.67654,-400.67783,966.70093,-12.56378,-379.61313,885.31427
24,0.192,-51.45595,-221.80388,1053.10925,3.55354,-400.77954,966.66083,-12.50829,-379.59436,885.19849
