Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-62.07494,-68.01894,1062.10901,-51.51264,111.98974,1107.95374,-208.99104,-57.02791,1064.4115,-176.82382,160.82452,1089.53076,-259.93701,-56.11652,950.86877
2,0.008,-62.07754,-68.29285,1062.16943,-51.94772,112.21936,1107.98157,-208.99104,-57.02791,1064.4115,-176.73793,160.63002,1089.34912,-259.74423,-56.76997,950.72882
3,0.017,-62.37467,-68.42126,1062.1123,-51.94772,112.21936,1107.98157,-208.9794,-57.18251,1064.28003,-176.90012,160.59038,1089.15173,-259.78918,-56.84986,950.64648
4,0.025,-62.37467,-68.42126,1062.1123,-52.14005,111.0529,1107.125,-209.12679,-57.70125,1064.06982,-177.51317,160.56639,1088.52686,-260.03488,-57.16881,951.16547
5,0.033,-62.37467,-68.42126,1062.1123,-52.49596,111.67696,1106.97034,-209.12679,-57.70125,1064.06982,-178.61111,160.20509,1088.56677,-260.03488,-57.16881,951.16547
6,0.042,-62.37467,-68.42126,1062.1123,-53.02354,111.65488,1106.54785,-209.12679,-57.70125,1064.06982,-179.10641,159.85265,1088.23279,-259.85544,-57.05905,950.7359
7,0.05,-62.37467,-68.42126,1062.1123,-53.03195,112.4317,1107.09692,-209.38904,-58.04446,1064.18201,-179.28979,159.97746,1088.23682,-259.87247,-57.40384,950.22552
8,0.058,-62.3469,-68.82435,1062.07056,-53.57251,111.64724,1106.60974,-209.38904,-58.04446,1064.18201,-179.52029,159.66426,1088.31909,-259.85416,-57.69641,950.22717
9,0.067,-62.3469,-68.82435,1062.07056,-53.79507,111.37611,1106.66516,-209.3436,-58.36773,1064.0835,-180.29317,159.05191,1088.43726,-259.85416,-57.69641,950.22717
10,0.075,-62.58777,-69.19509,1061.83362,-53.70386,112.32455,1107.16248,-209.70941,-58.96655,1063.81653,-181.57855,158.1358,1087.74048,-259.728,-57.79105,950.09052
11,0.083,-62.58777,-69.19509,1061.83362,-54.51327,112.10539,1106.6322,-209.70941,-58.96655,1063.81653,-181.86673,158.16005,1087.56177,-259.95184,-57.92173,950.12152
12,0.092,-62.58891,-69.86056,1061.68152,-54.20189,111.79153,1106.36646,-209.64622,-59.24855,1063.69141,-181.93448,157.94907,1087.4812,-259.95184,-57.92173,950.12152
13,0.1,-62.66369,-69.85548,1061.60132,-54.52474,111.51622,1106.74963,-209.64622,-59.24855,1063.69141,-182.34152,158.21454,1086.90991,-260.02917,-58.22892,949.94696
14,0.108,-62.57893,-70.00159,1061.52222,-55.0044,111.06438,1106.01257,-209.98131,-59.67778,1063.68457,-182.45549,158.15712,1086.77942,-260.02917,-58.22892,949.94696
15,0.117,-62.57893,-70.00159,1061.52222,-56.20355,111.76905,1107.12769,-210.06392,-59.54277,1063.32422,-182.66225,158.02986,1086.68542,-260.3132,-58.44764,949.9494
16,0.125,-62.57893,-70.00159,1061.52222,-56.20355,111.76905,1107.12769,-210.09447,-59.74474,1063.24622,-182.88914,157.35118,1086.81921,-260.33029,-58.66749,949.80371
17,0.133,-62.7929,-70.49046,1061.44592,-56.20355,111.76905,1107.12769,-210.24298,-60.09052,1063.24463,-182.76849,156.64691,1086.71558,-260.41309,-58.87276,949.51611
18,0.142,-63.1653,-70.55546,1061.46326,-56.20355,111.76905,1107.12769,-210.24298,-60.09052,1063.24463,-183.18587,156.06726,1086.44629,-260.46335,-58.99148,949.41016
19,0.15,-63.1653,-70.55546,1061.46326,-56.43666,111.696,1106.85413,-210.27795,-60.20879,1063.16089,-183.18587,156.06726,1086.44629,-260.46335,-58.99148,949.41016
20,0.158,-62.98061,-70.86149,1060.97131,-57.16022,111.73933,1106.64209,-210.36803,-60.49911,1063.03235,-183.81572,155.56934,1086.31287,-260.33713,-59.08628,949.27362
21,0.167,-62.98061,-70.86149,1060.97131,-56.73898,112.60104,1105.68225,-210.48802,-60.50287,1062.92529,-184.10995,154.70955,1086.36646,-260.52313,-59.72948,948.98712
22,0.175,-62.80573,-71.2566,1060.79822,-56.52971,113.06183,1105.64758,-210.76837,-60.80805,1062.99744,-183.8871,154.6942,1086.33435,-260.67017,-60.33713,949.04974
23,0.183,-62.71109,-71.43568,1060.78149,-56.03734,111.39421,1104.70251,-210.76837,-60.80805,1062.99744,-184.10995,154.70955,1086.36646,-260.69104,-60.55399,948.98749
24,0.192,-62.84809,-71.90747,1060.76074,-56.05701,111.65659,1104.32007,-210.70232,-60.96534,1062.8197,-183.75206,153.728,1086.0321,-260.69104,-60.55399,948.98749
25,0.2,-62.88002,-72.18775,1060.60962,-56.69647,112.3631,1104.42859,-210.59511,-61.84074,1062.7771,-183.58292,153.55515,1085.68799,-260.46768,-61.39503,949.00043
26,0.208,-62.78398,-72.12743,1060.41235,-56.22439,111.85389,1104.07861,-210.58714,-61.9413,1062.48059,-183.66203,153.16487,1085.61987,-260.00864,-61.59338,948.78943
27,0.217,-62.78398,-72.12743,1060.41235,-56.43404,112.77407,1104.39844,-210.94026,-62.59595,1062.34985,-183.96744,152.76897,1085.2699,-260.19037,-62.21329,948.85699
28,0.225,-62.9177,-72.37304,1060.27905,-56.11221,111.87861,1103.18579,-210.75169,-63.33559,1062.43188,-184.01337,152.4666,1085.24451,-260.19037,-62.21329,948.85699
29,0.233,-63.17412,-73.4815,1060.005,-56.12272,112.9183,1104.10132,-210.56284,-63.7719,1062.16589,-184.01337,152.4666,1085.24451,-260.04498,-62.77804,948.85187
30,0.242,-63.00156,-73.25044,1060.10339,-55.75283,112.70515,1104.01587,-210.12396,-64.04961,1062.16199,-184.01337,152.4666,1085.24451,-260.04498,-62.77804,948.85187
31,0.25,-63.00663,-73.57162,1059.76587,-55.75283,112.70515,1104.01587,-209.96652,-64.22665,1062.17029,-183.99521,152.25471,1085.31458,-259.87402,-63.42471,949.07098
32,0.258,-62.66639,-74.63736,1059.61328,-54.42723,110.59589,1103.41638,-209.63651,-64.42913,1062.18555,-183.58075,151.82314,1084.9552,-259.87402,-63.42471,949.07098
33,0.267,-62.17836,-74.47544,1059.50598,-54.58508,112.61904,1103.52832,-209.0844,-64.09616,1061.89709,-183.15018,151.68808,1084.94153,-259.87402,-63.42471,949.07098
34,0.275,-61.46858,-74.35245,1059.52563,-54.66137,113.07514,1103.15723,-208.26956,-64.62234,1062.15405,-182.96732,151.56325,1084.93726,-259.87402,-63.42471,949.07098
35,0.283,-61.06392,-74.10511,1059.64587,-54.42212,112.78184,1102.54993,-208.26956,-64.62234,1062.15405,-182.79881,151.50261,1084.96997,-259.87402,-63.42471,949.07098
36,0.292,-61.20152,-74.23194,1059.22424,-54.19011,112.94267,1102.21167,-207.94943,-65.4702,1062.77942,-182.79881,151.50261,1084.96997,-259.55746,-63.85678,948.9397
37,0.3,-60.92017,-74.17708,1059.27917,-53.94116,112.99903,1101.88049,-207.54626,-65.63353,1062.83044,-182.51857,151.38733,1084.78418,-259.5134,-63.98873,949.07599
38,0.308,-60.20185,-74.29447,1059.35974,-53.96848,113.03465,1101.58997,-207.04158,-65.1956,1062.30444,-182.03294,151.26817,1084.49976,-259.2963,-64.32925,949.18671
39,0.317,-60.29979,-74.33543,1059.22229,-53.78777,113.51075,1101.10352,-206.94138,-65.00913,1062.44446,-181.25684,150.25232,1083.87683,-259.08902,-64.23636,949.13818
40,0.325,-60.23031,-74.50621,1059.18335,-53.52447,113.40048,1100.95264,-206.68994,-65.06281,1062.36658,-180.99382,150.50383,1083.7196,-258.53159,-63.9916,949.21844
41,0.333,-59.83792,-74.58705,1059.22327,-52.90781,113.96675,1101.03882,-206.62769,-65.08171,1062.47424,-180.96242,150.17403,1083.52661,-258.8129,-64.40205,949.35291
42,0.342,-59.53978,-74.77652,1058.65747,-53.04433,114.73108,1100.62415,-206.51659,-65.43849,1062.50415,-180.84866,149.58124,1083.30652,-258.8129,-64.40205,949.35291
43,0.35,-58.78043,-75.08994,1058.70886,-52.77392,114.63903,1099.73657,-206.50502,-65.34387,1062.60193,-180.5121,148.80182,1083.1626,-257.56766,-64.7238,949.45953
44,0.358,-58.67809,-75.1927,1058.75317,-52.40362,115.8872,1099.06812,-205.82579,-65.74685,1062.97803,-180.5121,148.80182,1083.1626,-257.44171,-64.81842,949.32336
45,0.367,-58.49767,-75.34603,1058.70264,-52.43219,116.36574,1098.79688,-205.27499,-66.41163,1063.3501,-180.4951,149.28555,1082.67969,-256.68228,-64.45277,948.85925
46,0.375,-58.13389,-75.35799,1058.71252,-52.02389,115.62959,1098.81836,-205.0851,-66.65826,1063.33386,-180.48749,148.86562,1082.724,-256.35019,-64.22054,948.99902
47,0.383,-57.42816,-75.63653,1058.27649,-52.09053,116.81599,1098.44055,-204.60475,-66.89597,1063.32886,-180.49905,149.1403,1082.53064,-255.82547,-64.50458,949.25256
48,0.392,-57.19671,-74.90643,1058.05103,-52.38391,117.19816,1098.4314,-204.46899,-67.07035,1063.16528,-180.26089,148.92267,1082.48572,-255.59578,-64.83902,949.38098
49,0.4,-56.44289,-74.95361,1057.97681,-50.62237,118.98525,1098.07141,-203.97469,-67.46267,1063.17773,-180.3223,148.69734,1082.40271,-255.35393,-65.35725,949.69696
50,0.408,-56.44289,-74.95361,1057.97681,-50.62237,118.98525,1098.07141,-203.76427,-67.1802,1063.22327,-180.22433,148.48431,1082.21021,-255.272,-65.70348,949.77734
51,0.417,-56.25603,-74.80989,1058.14697,-50.20996,119.37614,1097.65405,-203.53961,-67.17778,1063.03857,-179.91144,148.7476,1081.8667,-255.02863,-65.87608,950.03485
52,0.425,-55.64212,-75.04144,1058.01331,-49.86332,119.59307,1096.9928,-203.08708,-67.02814,1062.95447,-179.98518,148.48874,1081.46985,-255.01903,-66.19138,950.0188
53,0.433,-55.04752,-75.37917,1058.40759,-49.74356,120.40781,1096.61414,-202.60863,-66.82845,1063.17932,-179.62202,148.37044,1080.68652,-254.79568,-66.48051,950.23975
54,0.442,-54.70428,-74.50549,1058.71814,-49.78677,120.47378,1096.42957,-201.77965,-66.84056,1063.3656,-179.73894,148.36285,1080.55908,-254.32997,-66.62531,950.02905
55,0.45,-53.70996,-74.56251,1059.35681,-49.58626,120.89394,1096.31824,-201.17458,-66.76601,1063.39465,-179.73894,148.36285,1080.55908,-253.80844,-66.55392,950.31818
56,0.458,-53.66511,-75.07507,1058.90393,-49.89627,120.89652,1094.86438,-201.03702,-66.70943,1063.47839,-179.73894,148.36285,1080.55908,-253.62929,-66.72779,950.87109
57,0.467,-53.4933,-75.28555,1058.7135,-49.31372,120.56238,1093.57434,-200.67676,-66.6903,1063.61975,-179.53171,148.39482,1080.46338,-253.25462,-67.10413,951.01898
58,0.475,-53.53964,-75.7199,1058.75159,-50.00591,122.42033,1094.98816,-200.67676,-66.6903,1063.61975,-179.53171,148.39482,1080.46338,-253.02888,-67.25478,951.1272
59,0.483,-52.87197,-75.00225,1058.46655,-50.24305,122.76018,1094.72144,-200.63989,-66.8604,1063.76196,-179.01573,148.4919,1079.91772,-252.98296,-67.53621,951.18213
60,0.492,-52.50514,-74.94975,1058.45776,-50.99788,124.00022,1094.27588,-200.63989,-66.8604,1063.76196,-179.01573,148.4919,1079.91772,-252.83549,-67.35715,951.22778
61,0.5,-52.29312,-75.01575,1058.59094,-50.49988,124.3243,1093.89233,-200.35979,-66.57939,1063.51501,-179.01573,148.4919,1079.91772,-252.83549,-67.35715,951.22778
62,0.508,-52.09125,-74.50826,1058.73804,-49.94812,124.95749,1093.61157,-200.24474,-66.63934,1063.58582,-178.92998,148.58255,1079.79199,-252.83549,-67.35715,951.22778
63,0.517,-51.99278,-74.15589,1058.83386,-49.94812,124.95749,1093.61157,-199.46854,-67.00936,1063.80603,-178.95453,148.66911,1079.70276,-252.42099,-67.17207,951.13141
64,0.525,-51.47186,-73.06935,1058.63831,-48.73256,125.95123,1093.51172,-199.25381,-67.00027,1063.61389,-179.38283,148.63609,1079.12451,-252.28197,-67.15559,951.35095
65,0.533,-51.26399,-73.10493,1058.56873,-49.26028,127.1424,1093.29114,-199.16328,-67.03923,1063.7583,-179.57254,148.78069,1079.01843,-251.9733,-67.16798,951.13721
66,0.542,-51.20545,-73.01723,1058.66589,-49.21165,126.23084,1092.07507,-199.08725,-67.01867,1063.85974,-179.57254,148.78069,1079.01843,-251.94989,-67.36543,951.36554
67,0.55,-50.82958,-73.08746,1058.7644,-49.66251,126.60091,1091.99756,-198.29102,-66.75573,1063.76099,-179.69763,148.67125,1078.81726,-251.38231,-67.62199,951.58044
68,0.558,-50.60716,-73.12622,1058.69019,-49.59072,126.99471,1091.69287,-197.69868,-66.75085,1063.69849,-179.74237,148.83781,1078.71021,-250.81499,-67.87916,951.79541
69,0.567,-50.3981,-72.76911,1058.68909,-49.57572,127.13529,1091.33289,-197.60155,-66.78289,1063.8988,-179.6757,149.21144,1078.50049,-250.68924,-67.84537,951.88757
70,0.575,-50.20333,-72.55698,1058.44458,-50.42081,128.06874,1091.71973,-197.3351,-66.62173,1063.90979,-179.80669,148.94032,1078.16125,-250.58244,-67.95973,952.07025
71,0.583,-50.06477,-72.07935,1058.43201,-50.13124,128.98984,1091.20447,-196.94542,-66.57966,1064.05725,-180.25015,148.44756,1078.13647,-250.53384,-68.19736,952.13513
72,0.592,-50.02762,-72.03109,1058.50244,-50.65957,129.13084,1090.8468,-196.91449,-66.37859,1064.13501,-180.47473,148.45287,1078.19556,-250.30069,-68.17681,952.42719
73,0.6,-49.86045,-71.61746,1058.52234,-50.65957,129.13084,1090.8468,-196.64415,-66.48401,1064.19153,-180.26291,148.80965,1077.77722,-250.30069,-68.17681,952.42719
74,0.608,-49.28625,-71.79337,1058.71252,-49.02882,128.80759,1091.2926,-196.60873,-66.3656,1064.27539,-180.3392,149.10979,1077.7312,-250.299,-68.26345,952.71869
75,0.617,-49.12303,-71.38506,1058.63574,-49.02882,128.80759,1091.2926,-196.60873,-66.3656,1064.27539,-180.3392,149.10979,1077.7312,-250.04884,-68.12786,952.65308
76,0.625,-49.05896,-71.28468,1058.52625,-49.05164,129.06512,1090.92468,-196.21584,-66.52567,1064.53943,-180.35193,149.38985,1077.66833,-250.01334,-67.91511,952.74091
77,0.633,-48.93603,-71.38772,1058.57166,-49.05164,129.06512,1090.92468,-196.21584,-66.52567,1064.53943,-180.42671,149.38939,1077.52893,-249.64665,-68.25502,952.77081
78,0.642,-48.80988,-71.13831,1058.66516,-48.83503,130.15768,1090.69788,-196.21584,-66.52567,1064.53943,-180.42671,149.38939,1077.52893,-249.64665,-68.25502,952.77081
79,0.65,-48.78623,-71.36084,1058.96252,-48.83503,130.15768,1090.69788,-196.21584,-66.52567,1064.53943,-180.42671,149.38939,1077.52893,-249.65436,-67.35862,952.59448
80,0.658,-48.75394,-70.67817,1058.72498,-48.46032,130.72803,1090.63538,-196.21584,-66.52567,1064.53943,-180.42671,149.38939,1077.52893,-249.5392,-67.17368,952.67084
81,0.667,-48.71333,-70.52307,1058.79968,-48.55325,130.21167,1089.62793,-195.97986,-66.18537,1064.6886,-180.42671,149.38939,1077.52893,-249.5392,-67.17368,952.67084
