Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,386.07678,-79.74249,341.70538,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
2,0.008,386.07678,-79.74249,341.70538,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
3,0.017,386.07678,-79.74249,341.70538,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
4,0.025,386.42783,-80.00227,341.98697,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
5,0.033,386.07678,-79.74249,341.70538,255.00421,-127.48624,81.18628,283.88474,-27.86684,94.60703
6,0.042,386.42783,-80.00227,341.98697,254.96893,-127.83581,81.04388,283.94077,-28.0823,94.53022
7,0.05,386.33618,-79.87223,342.16989,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
8,0.058,386.42783,-80.00227,341.98697,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
9,0.067,386.42783,-80.00227,341.98697,254.96893,-127.83581,81.04388,284.0033,-28.02481,94.44089
10,0.075,386.33618,-79.87223,342.16989,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
11,0.083,385.74728,-79.66554,341.84824,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
12,0.092,386.16003,-79.94532,341.96039,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
13,0.1,386.09634,-79.90874,342.09119,254.96893,-127.83581,81.04388,284.0033,-28.02481,94.44089
14,0.108,386.09634,-79.90874,342.09119,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
15,0.117,386.09634,-79.90874,342.09119,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
16,0.125,386.09634,-79.90874,342.09119,254.96893,-127.83581,81.04388,283.8222,-27.92434,94.69636
17,0.133,386.09634,-79.90874,342.09119,254.96893,-127.83581,81.04388,283.88474,-27.86684,94.60703
18,0.142,386.09634,-79.90874,342.09119,254.96893,-127.83581,81.04388,284.0033,-28.02481,94.44089
