Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-131.72725,34.87608,1143.61597,-48.18566,-150.11266,1053.48376,-68.25578,235.25452,1091.91089
2,0.008,-131.67909,34.48399,1143.68396,-48.38062,-150.64511,1053.67139,-68.27154,235.08369,1092.12366
3,0.017,-131.67909,34.48399,1143.68396,-48.21727,-150.65012,1053.84741,-68.48416,234.89311,1092.25562
4,0.025,-131.65265,34.6897,1143.51245,-48.21727,-150.65012,1053.84741,-68.48416,234.89311,1092.25562
5,0.033,-131.84727,34.33195,1143.61084,-48.4272,-150.96538,1053.79688,-68.48416,234.89311,1092.25562
6,0.042,-131.84727,34.33195,1143.61084,-48.58273,-151.21228,1054.05664,-68.48416,234.89311,1092.25562
7,0.05,-131.84727,34.33195,1143.61084,-48.58273,-151.21228,1054.05664,-68.43991,234.81065,1092.38757
8,0.058,-131.93419,34.54871,1143.74634,-48.58273,-151.21228,1054.05664,-67.96063,234.69403,1092.4834
9,0.067,-131.84727,34.33195,1143.61084,-48.58273,-151.21228,1054.05664,-68.43991,234.81065,1092.38757
10,0.075,-131.84727,34.33195,1143.61084,-48.58273,-151.21228,1054.05664,-68.43501,234.48489,1092.94849
11,0.083,-132.74197,34.78011,1143.38696,-48.58273,-151.21228,1054.05664,-68.43501,234.48489,1092.94849
12,0.092,-132.55836,35.11734,1143.29419,-48.78357,-151.22044,1054.2356,-68.5859,234.39549,1093.22241
13,0.1,-132.74197,34.78011,1143.38696,-48.78357,-151.22044,1054.2356,-68.62167,234.08228,1093.16187
14,0.108,-132.74197,34.78011,1143.38696,-48.78357,-151.22044,1054.2356,-68.58228,234.21149,1093.51965
15,0.117,-132.74197,34.78011,1143.38696,-48.78357,-151.22044,1054.2356,-68.52805,234.0923,1093.45972
16,0.125,-132.91025,34.62791,1143.31384,-48.79634,-151.47342,1054.30212,-68.6161,233.8201,1093.55823
17,0.133,-132.69597,34.42708,1143.0199,-48.79634,-151.47342,1054.30212,-68.5957,233.52074,1093.64734
18,0.142,-132.69597,34.42708,1143.0199,-48.79634,-151.47342,1054.30212,-69.05277,233.49713,1093.57056
19,0.15,-132.69597,34.42708,1143.0199,-48.79634,-151.47342,1054.30212,-68.906,233.60048,1093.78882
20,0.158,-133.19838,33.9112,1142.99951,-48.79634,-151.47342,1054.30212,-68.78129,233.36238,1093.95142
21,0.167,-133.51222,33.85182,1143.01794,-48.79634,-151.47342,1054.30212,-69.01119,233.37766,1094.01172
22,0.175,-133.36531,34.07513,1142.77466,-48.70759,-151.57858,1054.44788,-69.01119,233.37766,1094.01172
23,0.183,-133.1769,34.53158,1142.81335,-48.68106,-152.02434,1054.53577,-69.0943,233.3391,1094.10681
24,0.192,-133.67915,34.01574,1142.79309,-48.95916,-151.79041,1054.7843,-69.0943,233.3391,1094.10681
25,0.2,-133.54456,34.15469,1142.65625,-48.95916,-151.79041,1054.7843,-69.0943,233.3391,1094.10681
26,0.208,-133.67915,34.01574,1142.79309,-49.18729,-151.96303,1054.72388,-69.62742,233.05283,1094.16626
27,0.217,-133.698,33.75527,1143.00879,-49.01378,-152.06119,1054.87231,-69.75184,233.10945,1094.68311
28,0.225,-133.58937,33.86323,1142.89417,-49.18729,-151.96303,1054.72388,-69.75184,233.10945,1094.68311
29,0.233,-133.43274,33.69593,1143.13696,-49.03205,-152.13232,1055.09045,-69.75184,233.10945,1094.68311
30,0.242,-133.74953,33.98021,1143.09595,-49.13012,-152.15205,1055.25293,-68.85017,233.44293,1094.8717
31,0.25,-133.84898,33.86712,1143.1864,-49.10497,-152.05415,1055.36438,-69.01398,232.62242,1094.65576
32,0.258,-133.87907,33.80489,1142.9447,-49.42097,-152.2384,1055.47363,-69.62356,232.9911,1094.81812
33,0.267,-134.13823,33.95278,1142.88623,-49.42097,-152.2384,1055.47363,-69.17353,232.94923,1095.10876
34,0.275,-134.13823,33.95278,1142.88623,-49.41119,-152.47229,1055.48401,-69.62356,232.9911,1094.81812
35,0.283,-134.53282,34.03151,1143.00098,-49.48754,-152.19444,1055.55945,-69.17353,232.94923,1095.10876
36,0.292,-134.53282,34.03151,1143.00098,-49.41119,-152.47229,1055.48401,-69.62356,232.9911,1094.81812
37,0.3,-135.05042,34.44423,1142.92236,-49.47775,-152.42833,1055.56995,-69.8299,232.8916,1094.96057
38,0.308,-134.53282,34.03151,1143.00098,-49.47775,-152.42833,1055.56995,-69.54436,232.42412,1095.03625
39,0.317,-135.05042,34.44423,1142.92236,-49.47775,-152.42833,1055.56995,-69.58099,232.41519,1095.28564
40,0.325,-135.56822,34.85626,1142.84399,-49.67769,-152.54871,1055.74573,-69.80419,232.76355,1095.29114
41,0.333,-135.6107,33.82209,1142.91187,-49.62841,-152.4325,1055.83118,-69.89042,232.95734,1095.49451
42,0.342,-136.12827,34.23414,1142.83362,-49.67769,-152.54871,1055.74573,-69.80419,232.76355,1095.29114
43,0.35,-136.12827,34.23414,1142.83362,-49.57351,-152.73343,1056.14075,-69.89042,232.95734,1095.49451
44,0.358,-136.12827,34.23414,1142.83362,-49.57351,-152.73343,1056.14075,-69.89042,232.95734,1095.49451
45,0.367,-136.12827,34.23414,1142.83362,-49.57351,-152.73343,1056.14075,-69.89042,232.95734,1095.49451
46,0.375,-136.46875,34.19041,1142.922,-49.57351,-152.73343,1056.14075,-69.89042,232.95734,1095.49451
47,0.383,-137.93199,34.7501,1142.06738,-49.57351,-152.73343,1056.14075,-69.92977,233.19804,1095.50806
48,0.392,-137.93199,34.7501,1142.06738,-49.57119,-152.49403,1056.43506,-69.92977,233.19804,1095.50806
49,0.4,-138.11298,34.77384,1142.22131,-49.64087,-152.35098,1056.51392,-69.89042,232.95734,1095.49451
50,0.408,-138.11298,34.77384,1142.22131,-49.64087,-152.35098,1056.51392,-69.92977,233.19804,1095.50806
51,0.417,-138.11298,34.77384,1142.22131,-49.70913,-152.47641,1056.65796,-70.05338,233.30211,1095.84241
52,0.425,-138.11298,34.77384,1142.22131,-49.70913,-152.47641,1056.65796,-69.12818,233.09416,1096.16272
53,0.433,-138.56279,34.2584,1142.23047,-49.70913,-152.47641,1056.65796,-69.94401,233.08057,1095.70911
54,0.442,-138.56279,34.2584,1142.23047,-49.67072,-152.69502,1056.76892,-70.06759,233.18462,1096.04333
55,0.45,-138.56279,34.2584,1142.23047,-49.70913,-152.47641,1056.65796,-70.06759,233.18462,1096.04333
56,0.458,-138.56279,34.2584,1142.23047,-49.57983,-152.33145,1056.81018,-70.06759,233.18462,1096.04333
57,0.467,-138.56279,34.2584,1142.23047,-49.54143,-152.55006,1056.92114,-70.2338,233.36443,1096.16943
58,0.475,-138.56279,34.2584,1142.23047,-49.60766,-152.41606,1057.03967,-70.00886,233.36154,1096.33008
59,0.483,-138.48502,34.46037,1142.25867,-49.29536,-152.21893,1057.1604,-69.21352,233.25652,1096.74866
60,0.492,-138.56279,34.2584,1142.23047,-48.98494,-152.4882,1057.10974,-69.21352,233.25652,1096.74866
61,0.5,-138.56279,34.2584,1142.23047,-49.08561,-152.10439,1057.31787,-69.08041,233.22693,1096.91235
62,0.508,-138.56279,34.2584,1142.23047,-49.20832,-152.0188,1057.7843,-69.08041,233.22693,1096.91235
63,0.517,-138.56279,34.2584,1142.23047,-48.83695,-152.12051,1057.79016,-69.08041,233.22693,1096.91235
64,0.525,-137.27538,33.7957,1143.09119,-49.03787,-152.12892,1057.96899,-69.08041,233.22693,1096.91235
65,0.533,-137.0761,33.79644,1143.48108,-49.20832,-152.0188,1057.7843,-69.88541,233.36952,1096.59644
66,0.542,-137.0761,33.79644,1143.48108,-49.03787,-152.12892,1057.96899,-69.88541,233.36952,1096.59644
67,0.55,-137.0761,33.79644,1143.48108,-49.03787,-152.12892,1057.96899,-69.88541,233.36952,1096.59644
68,0.558,-137.0761,33.79644,1143.48108,-49.03787,-152.12892,1057.96899,-69.88541,233.36952,1096.59644
69,0.567,-137.16768,33.77222,1143.9248,-49.03787,-152.12892,1057.96899,-69.76175,233.44054,1096.7749
70,0.575,-137.16768,33.77222,1143.9248,-49.23303,-152.17943,1058.00281,-69.98049,233.354,1096.828
71,0.583,-138.9032,34.415,1142.83911,-49.50422,-151.99026,1058.29626,-70.52699,233.27121,1097.15039
72,0.592,-139.33675,34.91288,1143.03357,-49.54659,-152.05829,1058.52307,-69.951,233.19057,1097.80493
73,0.6,-139.18555,34.42781,1142.9353,-49.45392,-152.20242,1058.37512,-69.55501,233.5752,1097.67957
74,0.608,-138.0184,33.72484,1143.65186,-49.47478,-152.18649,1058.69739,-69.55501,233.5752,1097.67957
75,0.617,-138.0184,33.72484,1143.65186,-49.4533,-152.10268,1058.79297,-69.55501,233.5752,1097.67957
76,0.625,-139.69441,34.8311,1142.91138,-49.60834,-152.08284,1058.87671,-70.65929,233.28552,1097.4364
77,0.633,-139.94943,34.69547,1142.94421,-49.65866,-151.87071,1058.79785,-69.951,233.19057,1097.80493
78,0.642,-139.94943,34.69547,1142.94421,-49.62335,-152.09372,1059.02173,-70.65929,233.28552,1097.4364
79,0.65,-139.94943,34.69547,1142.94421,-49.42589,-152.19562,1059.16138,-70.65929,233.28552,1097.4364
80,0.658,-139.94943,34.69547,1142.94421,-49.42589,-152.19562,1059.16138,-70.79076,233.29984,1097.72278
81,0.667,-140.05737,34.77278,1143.10522,-49.42589,-152.19562,1059.16138,-71.14384,233.46826,1097.66736
82,0.675,-139.0531,34.46365,1143.96521,-49.42589,-152.19562,1059.16138,-70.45329,233.40817,1098.12268
83,0.683,-139.0531,34.46365,1143.96521,-49.26851,-152.08157,1059.20361,-70.54786,233.39258,1098.35437
84,0.692,-139.28464,34.52135,1143.71753,-49.04463,-151.79587,1059.47205,-70.45329,233.40817,1098.12268
85,0.7,-140.23512,34.90835,1143.2478,-49.04463,-151.79587,1059.47205,-70.54786,233.39258,1098.35437
86,0.708,-140.32996,34.84143,1143.06238,-49.04463,-151.79587,1059.47205,-70.59251,233.2571,1098.45471
87,0.717,-140.49109,34.8748,1142.86548,-48.96723,-152.03818,1059.4021,-71.31553,233.35172,1098.0719
88,0.725,-140.39629,34.94174,1143.0509,-48.96723,-152.03818,1059.4021,-71.31553,233.35172,1098.0719
89,0.733,-140.49109,34.8748,1142.86548,-49.1246,-152.15221,1059.35986,-70.59251,233.2571,1098.45471
