Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,218.75372,-136.23618,557.58472,337.44818,-69.26219,599.69299,364.8858,-138.34532,526.43774,371.82019,-6.60049,514.66284
2,0.008,218.87692,-136.03972,557.5434,337.44818,-69.26219,599.69299,365.0246,-138.15228,526.4165,371.82019,-6.60049,514.66284
3,0.017,219.04062,-136.00929,557.66241,337.30844,-69.08958,599.7843,364.86581,-138.10419,526.47101,371.82019,-6.60049,514.66284
4,0.025,218.66081,-135.88586,557.62817,337.09763,-68.80637,599.75568,364.86581,-138.10419,526.47101,372.37921,-5.64173,514.74945
5,0.033,218.89508,-135.33984,557.38342,337.16727,-68.42539,600.06396,364.76614,-137.70338,526.71094,372.37921,-5.64173,514.74945
6,0.042,219.17091,-135.48203,557.57471,337.17734,-68.52235,599.98956,364.73697,-137.40698,526.59198,372.37921,-5.64173,514.74945
7,0.05,219.17091,-135.48203,557.57471,337.2579,-68.32062,599.97418,364.97321,-137.41487,526.76935,371.3761,-4.81998,514.69897
8,0.058,219.17091,-135.48203,557.57471,337.34189,-68.0667,600.01587,364.96729,-136.82056,526.7392,371.3761,-4.81998,514.69897
9,0.067,219.17091,-135.48203,557.57471,337.78922,-68.11922,599.88684,365.21097,-136.92357,526.9151,371.3761,-4.81998,514.69897
10,0.075,219.15326,-135.43024,557.65509,337.78922,-68.11922,599.88684,365.43411,-136.71417,527.02905,371.3761,-4.81998,514.69897
11,0.083,219.40811,-135.15421,557.66833,337.82181,-67.83391,599.86713,365.43411,-136.71417,527.02905,371.3761,-4.81998,514.69897
12,0.092,219.34761,-135.41199,557.55414,337.74667,-67.38699,598.79297,365.43411,-136.71417,527.02905,372.98611,-4.94203,514.33118
13,0.1,219.35973,-135.30713,557.62469,337.69754,-67.38266,598.93298,365.43411,-136.71417,527.02905,372.91666,-4.46557,513.58575
14,0.108,219.40025,-135.27615,557.74915,337.69754,-67.38266,598.93298,365.5192,-136.88062,527.02728,372.62054,-4.03338,512.99323
15,0.117,219.40811,-135.15421,557.66833,337.69754,-67.38266,598.93298,365.43411,-136.71417,527.02905,371.3761,-4.81998,514.69897
16,0.125,219.56982,-135.23633,557.77466,338.06631,-67.47604,598.9231,365.43411,-136.71417,527.02905,371.89066,-5.08919,514.72644
17,0.133,219.51378,-135.4041,557.73242,338.16531,-67.60936,599.06323,365.66742,-136.92354,526.96381,371.89066,-5.08919,514.72644
18,0.142,219.50931,-135.49409,557.66046,338.29886,-67.67468,598.65594,365.66742,-136.92354,526.96381,371.89066,-5.08919,514.72644
19,0.15,219.56366,-135.35266,557.85718,338.29138,-67.70981,598.96002,365.5192,-136.88062,527.02728,371.76141,-5.15164,515.1026
20,0.158,219.7328,-135.27078,558.03235,338.4137,-67.75792,598.85675,365.66742,-136.92354,526.96381,371.76141,-5.15164,515.1026
21,0.167,219.67635,-135.4236,558.00433,338.42014,-67.66292,598.77466,365.66742,-136.92354,526.96381,371.89066,-5.08919,514.72644
