Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,37.71268,276.38315,726.87213,73.36321,275.10385,634.66003,136.80003,206.69711,665.48816
2,0.008,37.71268,276.38315,726.87213,72.94247,274.42838,635.00433,136.48106,206.33917,666.3219
3,0.017,38.00755,275.83807,726.38251,72.83488,274.6951,634.51202,136.12578,206.28983,665.64185
4,0.025,37.61013,276.07236,726.5733,72.72752,274.20651,634.03027,136.23825,206.04047,665.23706
5,0.033,37.66802,276.17239,726.31708,72.72752,274.20651,634.03027,136.27702,206.19411,665.49231
6,0.042,38.374,275.18887,725.40198,73.0168,274.68091,633.8006,135.94553,205.82376,664.6673
7,0.05,37.66802,276.17239,726.31708,73.0168,274.68091,633.8006,136.30243,206.33281,665.06641
8,0.058,37.8204,276.53824,726.57758,72.72051,274.11328,633.69476,136.54585,206.46535,665.38336
9,0.067,37.86599,276.54504,726.5741,72.72051,274.11328,633.69476,136.57008,206.49478,665.39734
10,0.075,37.86599,276.54504,726.5741,72.72051,274.11328,633.69476,136.57008,206.49478,665.39734
11,0.083,37.67419,276.57861,726.37671,72.72051,274.11328,633.69476,136.10654,206.09697,665.4765
12,0.092,37.50594,277.01364,726.40771,72.72051,274.11328,633.69476,136.18085,206.25505,665.66559
13,0.1,37.87406,276.75549,726.47803,72.72051,274.11328,633.69476,136.11493,206.17717,665.63092
14,0.108,37.50594,277.01364,726.40771,73.70168,273.34442,632.9231,137.06604,205.48711,665.08557
15,0.117,37.97173,276.8255,726.3446,72.72051,274.11328,633.69476,135.91145,205.98566,665.62622
16,0.125,37.85229,277.19501,726.2713,72.72051,274.11328,633.69476,136.11154,206.2256,665.74042
17,0.133,37.94998,277.26501,726.13776,72.72051,274.11328,633.69476,135.89098,205.96991,665.63312
18,0.142,37.84017,277.22791,725.60156,72.72051,274.11328,633.69476,135.8598,205.99191,665.74152
19,0.15,37.97539,277.57883,725.49823,72.72051,274.11328,633.69476,136.17159,206.37393,665.93488
20,0.158,38.11359,277.74969,725.81091,73.28875,274.85745,633.67676,136.53867,206.78003,665.59851
21,0.167,37.97539,277.57883,725.49823,73.58485,275.4252,633.78259,136.42323,206.80681,665.35693
22,0.175,38.24909,277.61945,725.47711,73.58485,275.4252,633.78259,136.29282,206.69316,665.36902
23,0.183,38.24909,277.61945,725.47711,73.28875,274.85745,633.67676,136.12524,206.36226,665.52118
24,0.192,38.38727,277.79031,725.78973,73.28875,274.85745,633.67676,136.54608,206.87836,665.79279
25,0.2,38.24909,277.61945,725.47711,73.28875,274.85745,633.67676,136.13695,206.47458,665.73871
26,0.208,38.41354,277.67419,725.60474,73.59209,274.84708,633.5675,136.16557,206.17934,665.55792
27,0.217,38.54207,277.5712,725.36938,74.01153,275.28534,633.50391,136.3822,206.32501,665.26007
28,0.225,38.41354,277.67419,725.60474,74.13569,275.39386,633.05389,136.61067,206.45628,664.65405
29,0.233,38.41354,277.67419,725.60474,74.00873,275.58264,632.94519,136.10687,206.22316,664.36444
30,0.242,38.54207,277.5712,725.36938,74.13569,275.39386,633.05389,136.17746,206.05197,664.62299
31,0.25,38.54207,277.5712,725.36938,73.88457,275.47418,633.39526,135.89955,206.1376,665.02856
32,0.258,38.54207,277.5712,725.36938,73.71545,274.71759,633.39807,136.47459,206.30119,665.56281
33,0.267,38.54207,277.5712,725.36938,73.7346,274.65689,633.03406,136.57585,206.27391,665.10944
34,0.275,38.54207,277.5712,725.36938,73.7346,274.65689,633.03406,136.37131,206.09047,665.11792
35,0.283,38.54207,277.5712,725.36938,74.13569,275.39386,633.05389,136.56798,206.4976,664.82813
36,0.292,38.54207,277.5712,725.36938,74.13569,275.39386,633.05389,136.77536,206.74794,664.96149
37,0.3,38.6072,277.33875,725.17407,73.7346,274.65689,633.03406,136.38257,206.1972,665.32318
38,0.308,38.6072,277.33875,725.17407,73.21899,274.06906,632.66284,136.1089,205.88699,665.06885
39,0.317,38.54207,277.5712,725.36938,73.21899,274.06906,632.66284,136.37376,206.26492,665.34552
40,0.325,38.6072,277.33875,725.17407,73.21899,274.06906,632.66284,136.21002,206.06845,665.25317
41,0.333,38.51909,277.34119,725.21283,73.60764,274.84579,632.92535,136.30627,206.45132,665.25427
42,0.342,38.54207,277.5712,725.36938,73.21899,274.06906,632.66284,136.38063,206.34802,665.50415
43,0.35,38.54207,277.5712,725.36938,73.60764,274.84579,632.92535,136.50278,206.68614,665.36835
44,0.358,38.24194,277.60236,725.22662,73.38089,274.96494,632.914,136.18913,206.73395,665.37537
45,0.367,37.90719,277.8403,725.19788,72.99222,274.18823,632.65143,136.07639,206.33247,665.36334
46,0.375,37.73656,277.91858,725.08655,72.99222,274.18823,632.65143,136.24396,206.47458,665.33417
47,0.383,37.77096,278.24725,725.32819,72.99222,274.18823,632.65143,136.52809,206.81882,665.49408
48,0.392,37.38198,278.0986,725.29395,72.99222,274.18823,632.65143,136.24425,206.47493,665.33435
49,0.4,37.10469,278.27713,725.07654,72.58021,274.37848,632.51373,135.69623,206.46533,665.04462
50,0.408,36.97148,278.43188,724.99744,72.64072,274.23813,632.1452,136.16112,206.72261,664.71661
51,0.417,36.90244,277.89243,724.82721,72.64072,274.23813,632.1452,135.71782,206.18881,664.46631
52,0.425,36.77137,278.25497,724.89594,72.33061,274.3941,632.36542,135.82652,206.78448,664.78906
53,0.433,36.66434,278.4245,724.59741,72.33061,274.3941,632.36542,135.85895,206.82373,664.80737
54,0.442,36.04869,279.04816,724.3526,71.91893,274.11502,632.55713,135.69167,206.89478,665.24597
55,0.45,36.1995,279.05243,724.34326,71.50368,274.26205,632.26288,135.48048,207.16663,664.80908
56,0.458,35.86494,278.91013,724.21808,71.50368,274.26205,632.26288,135.53357,207.23865,664.85309
57,0.467,35.74223,278.64447,724.25543,71.30927,274.50946,632.74213,134.98112,207.15648,665.35431
58,0.475,35.74223,278.64447,724.25543,71.30927,274.50946,632.74213,134.98112,207.15648,665.35431
59,0.483,35.74223,278.64447,724.25543,71.30927,274.50946,632.74213,134.98112,207.15648,665.35431
60,0.492,35.74223,278.64447,724.25543,71.09236,275.06616,632.79065,134.98112,207.15648,665.35431
