Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-212.95024,54.62907,615.36115,-71.06586,-116.42978,618.12061,-49.44912,225.68364,635.38379
2,0.008,-212.89232,54.43473,615.26483,-71.06586,-116.42978,618.12061,-49.61127,225.29311,635.17236
3,0.017,-213.69394,54.20067,615.38635,-71.06586,-116.42978,618.12061,-49.83125,224.79822,635.11511
4,0.025,-213.69394,54.20067,615.38635,-71.06586,-116.42978,618.12061,-49.83125,224.79822,635.11511
5,0.033,-213.47299,54.35011,615.38611,-71.21777,-116.41858,618.23376,-49.83125,224.79822,635.11511
6,0.042,-212.95024,54.62907,615.36115,-71.13245,-116.32609,618.34076,-49.44912,225.68364,635.38379
7,0.05,-213.26129,54.6794,615.46393,-71.21777,-116.41858,618.23376,-49.44912,225.68364,635.38379
8,0.058,-213.52733,54.72522,615.47217,-71.21777,-116.41858,618.23376,-49.61127,225.29311,635.17236
9,0.067,-213.75188,54.39505,615.48267,-71.21777,-116.41858,618.23376,-49.83125,224.79822,635.11511
10,0.075,-213.75188,54.39505,615.48267,-71.27116,-116.27361,618.29016,-49.76784,224.72752,634.77814
11,0.083,-213.83057,54.58049,615.55957,-71.27116,-116.27361,618.29016,-49.54788,225.22247,634.83545
12,0.092,-213.60603,54.91066,615.54907,-71.27116,-116.27361,618.29016,-49.54788,225.22247,634.83545
13,0.1,-213.60603,54.91066,615.54907,-71.27116,-116.27361,618.29016,-49.54788,225.22247,634.83545
14,0.108,-213.60603,54.91066,615.54907,-71.27116,-116.27361,618.29016,-49.48453,225.32941,634.61224
15,0.117,-213.60603,54.91066,615.54907,-71.18584,-116.18112,618.39716,-49.48453,225.32941,634.61224
16,0.125,-213.60603,54.91066,615.54907,-71.18584,-116.18112,618.39716,-49.38577,225.61313,635.04694
17,0.133,-213.60603,54.91066,615.54907,-71.27116,-116.27361,618.29016,-49.54788,225.22247,634.83545
18,0.142,-213.83057,54.58049,615.55957,-71.48543,-116.22092,618.2804,-49.76784,224.72752,634.77814
19,0.15,-213.83057,54.58049,615.55957,-71.18584,-116.18112,618.39716,-49.48453,225.32941,634.61224
20,0.158,-213.60603,54.91066,615.54907,-71.32462,-116.12877,618.34656,-49.29019,225.79105,634.82214
21,0.167,-213.60603,54.91066,615.54907,-71.27116,-116.27361,618.29016,-48.81525,226.82016,634.65613
22,0.175,-213.32709,54.86572,615.45245,-71.27116,-116.27361,618.29016,-48.81525,226.82016,634.65613
23,0.183,-213.66791,55.22123,615.47711,-71.18584,-116.18112,618.39716,-49.29019,225.79105,634.82214
24,0.192,-213.66791,55.22123,615.47711,-71.48543,-116.22092,618.2804,-49.48453,225.32941,634.61224
25,0.2,-213.38893,55.17628,615.38049,-71.48543,-116.22092,618.2804,-49.48453,225.32941,634.61224
26,0.208,-213.32709,54.86572,615.45245,-71.6386,-116.31551,618.27905,-49.53868,225.36037,634.27808
27,0.217,-213.32709,54.86572,615.45245,-71.6386,-116.31551,618.27905,-48.84026,226.8632,633.96729
28,0.225,-213.32709,54.86572,615.45245,-71.48543,-116.22092,618.2804,-48.81133,226.87572,633.6123
29,0.233,-213.32709,54.86572,615.45245,-71.42435,-116.36823,618.28882,-48.92254,226.58737,633.3255
30,0.242,-213.32709,54.86572,615.45245,-71.32462,-116.12877,618.34656,-48.92254,226.58737,633.3255
31,0.25,-213.32709,54.86572,615.45245,-71.27116,-116.27361,618.29016,-48.81133,226.87572,633.6123
32,0.258,-213.32709,54.86572,615.45245,-71.42435,-116.36823,618.28882,-49.14208,226.09186,633.26807
33,0.267,-213.32709,54.86572,615.45245,-71.42435,-116.36823,618.28882,-49.14208,226.09186,633.26807
34,0.275,-213.32709,54.86572,615.45245,-71.48543,-116.22092,618.2804,-49.14208,226.09186,633.26807
35,0.283,-213.32709,54.86572,615.45245,-71.69206,-116.17066,618.33551,-48.69847,226.38104,633.04083
36,0.292,-213.10254,55.19608,615.44196,-71.6386,-116.31551,618.27905,-48.69847,226.38104,633.04083
37,0.3,-213.32709,54.86572,615.45245,-71.69206,-116.17066,618.33551,-48.69847,226.38104,633.04083
38,0.308,-213.38893,55.17628,615.38049,-71.72354,-116.32169,618.20233,-48.91797,225.88544,632.98328
39,0.317,-213.38893,55.17628,615.38049,-71.72354,-116.32169,618.20233,-49.08035,225.4951,632.77161
40,0.325,-213.32709,54.86572,615.45245,-71.72354,-116.32169,618.20233,-48.69847,226.38104,633.04083
41,0.333,-213.32709,54.86572,615.45245,-71.78012,-116.19191,618.24548,-48.69847,226.38104,633.04083
42,0.342,-213.32709,54.86572,615.45245,-71.72354,-116.32169,618.20233,-48.69847,226.38104,633.04083
43,0.35,-213.60603,54.91066,615.54907,-71.78012,-116.19191,618.24548,-48.69847,226.38104,633.04083
44,0.358,-213.66791,55.22123,615.47711,-71.78204,-116.10408,618.26495,-48.69847,226.38104,633.04083
45,0.367,-213.66791,55.22123,615.47711,-71.93652,-116.11552,618.24194,-49.08035,225.4951,632.77161
46,0.375,-213.66791,55.22123,615.47711,-71.78204,-116.10408,618.26495,-48.85377,225.64272,632.55432
47,0.383,-213.60603,54.91066,615.54907,-71.72354,-116.32169,618.20233,-49.59332,225.93481,632.72778
48,0.392,-213.60603,54.91066,615.54907,-71.78012,-116.19191,618.24548,-49.59332,225.93481,632.72778
49,0.4,-213.60603,54.91066,615.54907,-71.82145,-116.4629,618.13623,-49.59332,225.93481,632.72778
50,0.408,-213.60603,54.91066,615.54907,-71.90133,-116.6042,618.06628,-49.59332,225.93481,632.72778
51,0.417,-213.60603,54.91066,615.54907,-71.80341,-116.46303,618.13245,-49.36666,226.08243,632.5105
52,0.425,-213.66791,55.22123,615.47711,-71.80341,-116.46303,618.13245,-49.59332,225.93481,632.72778
53,0.433,-213.83057,54.58049,615.55957,-71.72354,-116.32169,618.20233,-49.36666,226.08243,632.5105
54,0.442,-213.83057,54.58049,615.55957,-71.72354,-116.32169,618.20233,-49.36666,226.08243,632.5105
55,0.45,-213.60603,54.91066,615.54907,-71.72354,-116.32169,618.20233,-49.36666,226.08243,632.5105
56,0.458,-213.60603,54.91066,615.54907,-71.95791,-116.47446,618.10944,-49.22954,225.39139,632.10846
57,0.467,-213.60603,54.91066,615.54907,-71.72354,-116.32169,618.20233,-49.36666,226.08243,632.5105
58,0.475,-213.60603,54.91066,615.54907,-71.72354,-116.32169,618.20233,-49.36666,226.08243,632.5105
59,0.483,-213.66791,55.22123,615.47711,-71.82145,-116.4629,618.13623,-49.36666,226.08243,632.5105
60,0.492,-213.66791,55.22123,615.47711,-71.84266,-115.84731,618.14893,-49.36666,226.08243,632.5105
61,0.5,-213.66791,55.22123,615.47711,-71.88182,-116.21004,618.03802,-49.36666,226.08243,632.5105
62,0.508,-213.66791,55.22123,615.47711,-71.78391,-116.06882,618.10413,-49.30245,226.47076,632.41461
63,0.517,-213.66791,55.22123,615.47711,-71.66827,-116.36834,618.13757,-49.30245,226.47076,632.41461
64,0.525,-213.60603,54.91066,615.54907,-71.57037,-116.22711,618.20367,-49.30245,226.47076,632.41461
65,0.533,-213.60603,54.91066,615.54907,-71.57037,-116.22711,618.20367,-49.07447,226.98082,632.45007
66,0.542,-213.66791,55.22123,615.47711,-71.27116,-116.27361,618.29016,-49.30245,226.47076,632.41461
67,0.55,-213.66791,55.22123,615.47711,-71.18584,-116.18112,618.39716,-49.30245,226.47076,632.41461
68,0.558,-213.66791,55.22123,615.47711,-71.33152,-116.02073,618.19196,-49.30245,226.47076,632.41461
69,0.567,-213.66791,55.22123,615.47711,-71.33152,-116.02073,618.19196,-49.30245,226.47076,632.41461
70,0.575,-213.66791,55.22123,615.47711,-71.33152,-116.02073,618.19196,-49.30245,226.47076,632.41461
71,0.583,-213.66791,55.22123,615.47711,-71.18584,-116.18112,618.39716,-49.30245,226.47076,632.41461
72,0.592,-213.66791,55.22123,615.47711,-71.27116,-116.27361,618.29016,-49.07447,226.98082,632.45007
73,0.6,-213.60603,54.91066,615.54907,-71.27116,-116.27361,618.29016,-49.30245,226.47076,632.41461
74,0.608,-213.38893,55.17628,615.38049,-71.36588,-116.26997,617.64343,-49.30245,226.47076,632.41461
75,0.617,-213.66791,55.22123,615.47711,-71.36041,-116.40042,618.22205,-49.30245,226.47076,632.41461
