Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,275.91888,177.55414,674.27161,248.77399,157.18271,537.23932,271.3526,45.49547,528.97119
2,0.008,276.09885,177.93384,674.38855,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
3,0.017,276.44739,177.85632,674.19684,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
4,0.025,276.5831,177.89825,673.6142,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
5,0.033,276.41818,177.99434,673.70746,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
6,0.042,276.55347,177.79372,674.24341,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
7,0.05,276.48715,177.91885,673.96411,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
8,0.058,276.65533,178.05972,673.78217,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
9,0.067,276.7587,177.94748,673.85132,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
10,0.075,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
11,0.083,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
12,0.092,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
13,0.1,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
14,0.108,276.69244,178.07259,673.57202,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
15,0.117,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
16,0.125,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
17,0.133,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
18,0.142,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
19,0.15,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
20,0.158,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
21,0.167,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
22,0.175,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
23,0.183,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
24,0.192,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
25,0.2,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
26,0.208,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
27,0.217,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
28,0.225,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
29,0.233,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
30,0.242,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
31,0.25,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
32,0.258,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
33,0.267,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
34,0.275,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
35,0.283,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
36,0.292,276.83017,178.20865,673.41766,249.03671,157.34779,537.24664,271.3526,45.49547,528.97119
37,0.3,276.83017,178.20865,673.41766,249.03671,157.34779,537.24664,271.3526,45.49547,528.97119
38,0.308,276.83017,178.20865,673.41766,249.03671,157.34779,537.24664,271.3526,45.49547,528.97119
39,0.317,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
40,0.325,276.83017,178.20865,673.41766,249.03671,157.34779,537.24664,271.3526,45.49547,528.97119
41,0.333,276.83017,178.20865,673.41766,248.84093,157.25496,537.13818,271.3526,45.49547,528.97119
