Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,-54.72681,-265.58356,623.88708,-48.14422,-208.4167,642.15967,-27.0525,-169.17317,616.5285,-7.69476,-137.93909,577.76093,33.64018,-218.61575,599.9339,53.88698,-183.70425,562.0072,37.74798,-148.60764,521.43744
2,0.008,-54.57476,-265.69583,624.34204,-47.40585,-208.60902,642.3642,-26.30321,-169.47792,616.62018,-7.69476,-137.93909,577.76093,33.26155,-219.08829,599.71906,53.66622,-184.38022,561.69977,37.69999,-149.12564,521.50287
3,0.017,-54.94691,-265.58121,624.47797,-46.94601,-208.53546,642.2973,-26.02667,-169.51028,616.41119,-5.59586,-138.44035,577.04858,33.39364,-219.39539,599.63873,53.49803,-184.97585,561.69257,38.25846,-149.08318,521.91254
4,0.025,-54.94691,-265.58121,624.47797,-46.72238,-208.41539,642.33148,-25.73312,-169.58279,616.245,-6.35618,-140.3694,575.49371,33.39364,-219.39539,599.63873,53.4737,-185.1723,561.55109,38.25846,-149.08318,521.91254
5,0.033,-55.50872,-263.92606,623.29443,-46.93564,-208.07327,642.60309,-25.23331,-169.9726,615.99609,-6.35618,-140.3694,575.49371,33.59875,-219.58359,599.83466,53.73216,-185.23566,561.58173,39.73734,-149.56131,521.77234
6,0.042,-55.2505,-263.46539,623.20447,-46.92964,-206.88902,642.74677,-25.18631,-169.13028,615.73761,-5.64802,-141.50824,574.39801,33.45975,-219.83594,599.94556,53.73216,-185.23566,561.58173,39.73734,-149.56131,521.77234
7,0.05,-54.43779,-264.2699,625.44165,-47.05047,-206.57388,642.41583,-25.3755,-168.91031,615.1908,-5.64802,-141.50824,574.39801,33.73509,-218.85181,599.86627,53.79229,-185.38632,561.45734,39.69765,-150.79301,521.62848
8,0.058,-54.43779,-264.2699,625.44165,-47.4292,-205.49251,642.32251,-25.28079,-167.91879,615.49377,-5.64802,-141.50824,574.39801,33.58016,-218.6973,599.99133,53.79229,-185.38632,561.45734,39.84365,-150.14465,521.29138
9,0.067,-54.43779,-264.2699,625.44165,-47.70872,-204.8143,641.92157,-25.83846,-168.20172,615.44043,-5.64802,-141.50824,574.39801,33.58016,-218.6973,599.99133,53.95234,-185.15411,561.57361,39.82612,-150.04323,520.98236
10,0.075,-54.07738,-263.79773,625.69092,-48.86535,-204.67218,642.12506,-27.64768,-167.83504,615.00684,-6.91401,-139.86823,573.58569,33.60548,-217.65489,600.56085,54.00235,-184.17346,561.63446,39.66821,-149.57631,520.96564
