Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-423.96786,-49.76719,1086.25037,-366.91138,-256.32297,996.00317,-382.93707,114.60606,1102.49292
2,0.008,-423.96786,-49.76719,1086.25037,-366.91138,-256.32297,996.00317,-383.51855,114.13101,1102.81482
3,0.017,-424.36621,-49.71864,1086.41516,-366.91138,-256.32297,996.00317,-383.90845,113.67226,1103.09033
4,0.025,-424.36621,-49.71864,1086.41516,-366.91138,-256.32297,996.00317,-383.90591,113.51602,1103.12817
5,0.033,-424.36621,-49.71864,1086.41516,-366.91138,-256.32297,996.00317,-383.82907,113.52479,1103.24854
6,0.042,-424.36621,-49.71864,1086.41516,-366.91138,-256.32297,996.00317,-384.07129,113.87619,1103.52222
7,0.05,-424.36621,-49.71864,1086.41516,-367.03387,-256.26141,996.11346,-384.07129,113.87619,1103.52222
8,0.058,-424.36621,-49.71864,1086.41516,-367.03387,-256.26141,996.11346,-384.14911,113.73042,1103.42993
9,0.067,-424.36621,-49.71864,1086.41516,-367.43661,-256.33398,996.18323,-384.3653,113.52892,1103.50928
10,0.075,-424.37466,-50.06392,1086.37073,-367.32919,-256.19934,996.08447,-384.3653,113.52892,1103.50928
11,0.083,-424.37466,-50.06392,1086.37073,-367.56857,-256.3555,996.09552,-384.67096,113.21871,1103.73511
12,0.092,-424.37466,-50.06392,1086.37073,-367.56857,-256.3555,996.09552,-385.18576,113.08788,1103.7113
13,0.1,-424.37466,-50.06392,1086.37073,-367.56857,-256.3555,996.09552,-385.07657,113.11755,1103.44556
14,0.108,-424.45245,-50.31122,1086.22485,-367.56857,-256.3555,996.09552,-385.07657,113.11755,1103.44556
15,0.117,-424.80576,-50.15137,1086.18799,-367.56857,-256.3555,996.09552,-385.98175,113.22543,1103.71582
16,0.125,-424.72794,-49.90411,1086.33386,-367.63196,-256.33459,995.99884,-385.87256,113.25516,1103.44995
17,0.133,-424.80576,-50.15137,1086.18799,-367.47675,-256.36725,996.01416,-385.98175,113.22543,1103.71582
18,0.142,-424.81442,-49.7817,1086.20691,-367.63196,-256.33459,995.99884,-385.98175,113.22543,1103.71582
19,0.15,-424.71945,-49.55889,1086.3783,-368.05112,-256.05981,995.82703,-385.98175,113.22543,1103.71582
20,0.158,-424.71945,-49.55889,1086.3783,-368.31506,-255.97462,995.70441,-386.05869,113.21666,1103.59558
21,0.167,-424.81442,-49.7817,1086.20691,-368.31506,-255.97462,995.70441,-385.90674,112.97254,1103.41321
22,0.175,-425.40109,-49.68031,1086.40417,-368.81796,-255.56693,995.82593,-385.98175,113.22543,1103.71582
23,0.183,-425.61536,-49.04614,1086.23914,-368.66409,-255.59474,995.72961,-386.23999,113.00559,1103.85291
24,0.192,-425.72098,-48.82539,1086.09045,-369.03549,-255.6944,995.77319,-386.65958,112.70226,1104.17102
25,0.2,-425.72098,-48.82539,1086.09045,-369.03549,-255.6944,995.77319,-387.07211,112.61726,1104.49023
26,0.208,-426.00317,-48.80836,1085.81567,-369.58252,-255.66182,995.65106,-387.07211,112.61726,1104.49023
27,0.217,-426.00317,-48.80836,1085.81567,-369.73117,-255.78462,995.61652,-387.36246,112.40766,1104.42749
28,0.225,-426.00317,-48.80836,1085.81567,-369.73117,-255.78462,995.61652,-387.36246,112.40766,1104.42749
29,0.233,-426.47357,-49.75802,1086.19202,-370.24905,-255.79749,995.63171,-387.36246,112.40766,1104.42749
30,0.242,-426.47357,-49.75802,1086.19202,-370.52924,-255.85799,995.69281,-388.86746,112.48605,1104.41357
31,0.25,-426.47357,-49.75802,1086.19202,-370.61823,-255.6221,995.76135,-388.53458,112.82062,1104.42615
32,0.258,-426.47357,-49.75802,1086.19202,-370.61823,-255.6221,995.76135,-388.82767,113.21014,1104.5437
33,0.267,-426.47357,-49.75802,1086.19202,-370.81973,-255.64006,995.72449,-388.90033,113.61311,1104.46021
34,0.275,-426.86121,-49.52029,1085.76868,-370.83414,-255.70018,995.92773,-388.90033,113.61311,1104.46021
35,0.283,-426.22433,-48.8018,1085.67578,-370.95624,-255.86911,995.80524,-388.9772,113.60431,1104.34009
36,0.292,-426.22433,-48.8018,1085.67578,-370.81973,-255.64006,995.72449,-388.9772,113.60431,1104.34009
37,0.3,-427.38589,-48.90063,1085.86145,-371.49332,-255.68785,995.72241,-388.9772,113.60431,1104.34009
38,0.308,-427.38589,-48.90063,1085.86145,-371.67056,-255.92308,995.62152,-388.99283,113.7849,1104.276
39,0.317,-428.35596,-48.30566,1085.59827,-371.67056,-255.92308,995.62152,-388.99283,113.7849,1104.276
40,0.325,-428.35596,-48.30566,1085.59827,-372.38925,-255.81516,995.6886,-388.99283,113.7849,1104.276
41,0.333,-429.16843,-47.55364,1085.53601,-372.64981,-255.73729,995.58667,-388.80899,113.88993,1103.98938
42,0.342,-429.16843,-47.55364,1085.53601,-372.95526,-256.30392,995.43231,-389.28702,114.2573,1103.89734
43,0.35,-429.51004,-47.36572,1085.44885,-373.28174,-256.24222,995.42072,-389.47083,114.1523,1104.18384
44,0.358,-429.51004,-47.36572,1085.44885,-373.28174,-256.24222,995.42072,-389.51138,114.27784,1104.09229
45,0.367,-429.51004,-47.36572,1085.44885,-373.28174,-256.24222,995.42072,-389.51138,114.27784,1104.09229
46,0.375,-429.95752,-47.56517,1085.30566,-373.41357,-256.26334,995.33313,-389.68451,114.29778,1104.02246
47,0.383,-429.95752,-47.56517,1085.30566,-373.61737,-256.42059,995.55927,-389.68451,114.29778,1104.02246
48,0.392,-429.95752,-47.56517,1085.30566,-373.96884,-256.46091,995.69135,-389.68451,114.29778,1104.02246
49,0.4,-430.81467,-48.2765,1085.25867,-374.10492,-256.42407,995.87891,-389.68451,114.29778,1104.02246
50,0.408,-430.81467,-48.2765,1085.25867,-374.78918,-256.09692,995.70154,-390.01724,113.96329,1104.00989
51,0.417,-430.81467,-48.2765,1085.25867,-375.25006,-256.04355,995.77783,-389.97672,113.83775,1104.10132
52,0.425,-431.22449,-48.25495,1085.47461,-375.52863,-256.0188,995.85846,-389.97672,113.83775,1104.10132
53,0.433,-431.22449,-48.25495,1085.47461,-375.9216,-255.68594,995.75269,-390.30954,113.50336,1104.08887
54,0.442,-431.22449,-48.25495,1085.47461,-375.9216,-255.68594,995.75269,-389.97672,113.83775,1104.10132
55,0.45,-431.22449,-48.25495,1085.47461,-376.27603,-255.48528,995.68292,-389.97672,113.83775,1104.10132
56,0.458,-431.22449,-48.25495,1085.47461,-376.38382,-255.62636,995.61395,-390.16776,113.9559,1104.2533
57,0.467,-431.59451,-48.61016,1085.60229,-376.64624,-255.59485,995.63947,-390.16776,113.9559,1104.2533
58,0.475,-431.59451,-48.61016,1085.60229,-377.19003,-255.65984,995.57526,-390.54114,113.74704,1104.14917
59,0.483,-431.83765,-48.67078,1085.46313,-377.19003,-255.65984,995.57526,-390.6759,113.58057,1104.33521
60,0.492,-431.83765,-48.67078,1085.46313,-377.06943,-256.02411,995.63452,-390.71643,113.70611,1104.24365
61,0.5,-431.83765,-48.67078,1085.46313,-377.06943,-256.02411,995.63452,-390.84363,113.65127,1104.28943
62,0.508,-432.42416,-48.56865,1085.66113,-377.17865,-255.98563,995.57642,-390.84363,113.65127,1104.28943
63,0.517,-432.42416,-48.56865,1085.66113,-377.29926,-255.62135,995.51715,-390.88116,113.55281,1104.17004
64,0.525,-432.42416,-48.56865,1085.66113,-377.29926,-255.62135,995.51715,-391.39389,113.34623,1104.67493
65,0.533,-432.64499,-48.56253,1085.52148,-377.17865,-255.98563,995.57642,-391.65958,113.12251,1104.79907
66,0.542,-432.64499,-48.56253,1085.52148,-377.17865,-255.98563,995.57642,-391.78998,112.73186,1104.80505
67,0.55,-432.64499,-48.56253,1085.52148,-377.21509,-256.03601,995.33435,-391.78998,112.73186,1104.80505
68,0.558,-432.64499,-48.56253,1085.52148,-377.11588,-256.40689,995.14618,-391.78998,112.73186,1104.80505
69,0.567,-432.64499,-48.56253,1085.52148,-377.14743,-256.51758,995.08582,-392.07425,112.58952,1104.01965
70,0.575,-432.64499,-48.56253,1085.52148,-377.19394,-256.43271,994.9635,-392.26953,112.47713,1103.96814
