Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,-265.51215,-322.54984,900.11133,-209.60204,-429.82959,734.31848,-272.68918,-396.92511,670.99402
2,0.008,-265.1608,-322.46323,900.23035,-209.64551,-429.94791,734.44739,-272.68918,-396.92511,670.99402
3,0.017,-264.89957,-322.41687,900.34033,-209.51306,-429.7525,734.54938,-272.68918,-396.92511,670.99402
4,0.025,-264.85422,-322.36096,900.28302,-209.64551,-429.94791,734.44739,-271.96857,-395.54648,671.70715
5,0.033,-264.74503,-322.60681,900.35565,-209.64551,-429.94791,734.44739,-271.96857,-395.54648,671.70715
6,0.042,-264.80829,-322.4024,900.41644,-209.60204,-429.82959,734.31848,-272.86761,-396.7829,670.9801
7,0.05,-264.80829,-322.4024,900.41644,-209.64551,-429.94791,734.44739,-272.86761,-396.7829,670.9801
8,0.058,-264.80829,-322.4024,900.41644,-209.64551,-429.94791,734.44739,-271.96857,-395.54648,671.70715
9,0.067,-264.80829,-322.4024,900.41644,-209.60204,-429.82959,734.31848,-271.96857,-395.54648,671.70715
10,0.075,-264.80829,-322.4024,900.41644,-209.60204,-429.82959,734.31848,-271.96857,-395.54648,671.70715
11,0.083,-264.80829,-322.4024,900.41644,-209.60204,-429.82959,734.31848,-271.66464,-395.43076,671.39679
12,0.092,-264.80829,-322.4024,900.41644,-209.60204,-429.82959,734.31848,-271.66464,-395.43076,671.39679
13,0.1,-264.89957,-322.41687,900.34033,-209.64551,-429.94791,734.44739,-271.22421,-395.32074,671.26898
14,0.108,-265.26376,-322.647,900.53693,-209.64151,-430.51807,734.72211,-271.49612,-395.45197,671.70135
15,0.117,-265.35501,-322.66144,900.46082,-209.50577,-430.39758,734.76056,-271.49612,-395.45197,671.70135
16,0.125,-265.68814,-322.83865,900.33984,-209.64151,-430.51807,734.72211,-271.66464,-395.43076,671.39679
17,0.133,-265.6683,-322.76071,900.05951,-209.46181,-430.33392,734.66028,-272.27875,-396.93979,670.99597
18,0.142,-265.75974,-322.79059,900.19043,-209.46181,-430.33392,734.66028,-272.68918,-396.92511,670.99402
19,0.15,-265.77136,-322.95602,900.39404,-209.46181,-430.33392,734.66028,-272.27875,-396.93979,670.99597
20,0.158,-265.69641,-322.99493,900.1297,-209.11572,-430.98749,735.45416,-272.68918,-396.92511,670.99402
21,0.167,-265.75974,-322.79059,900.19043,-209.15685,-431.00735,735.60693,-272.27875,-396.93979,670.99597
22,0.175,-265.75974,-322.79059,900.19043,-209.15685,-431.00735,735.60693,-272.26889,-397.21741,671.0874
23,0.183,-265.68814,-322.83865,900.33984,-209.03206,-430.81827,735.70111,-272.24442,-397.34082,671.09747
24,0.192,-265.44785,-323.07663,900.34821,-208.99092,-430.7984,735.54834,-271.87097,-397.61395,671.06805
25,0.2,-265.62485,-323.04297,900.27905,-209.03206,-430.81827,735.70111,-271.61719,-396.41769,671.95776
26,0.208,-265.20047,-322.85135,900.47614,-209.03206,-430.81827,735.70111,-272.23453,-397.61838,671.1889
27,0.217,-265.44785,-323.07663,900.34821,-209.0558,-430.8338,735.75647,-272.31647,-397.65411,671.45819
28,0.225,-265.26376,-322.647,900.53693,-209.03206,-430.81827,735.70111,-272.31647,-397.65411,671.45819
29,0.233,-265.04358,-322.56839,900.72015,-209.12132,-430.72473,735.55719,-271.8808,-397.33636,670.97662
30,0.242,-265.08813,-322.52161,900.56805,-209.21037,-430.3623,735.35919,-271.49612,-395.45197,671.70135
31,0.25,-265.04358,-322.56839,900.72015,-209.08018,-430.70486,735.40442,-271.49612,-395.45197,671.70135
32,0.258,-264.80954,-322.63818,900.48389,-209.17041,-430.34052,735.1908,-271.49612,-395.45197,671.70135
33,0.267,-265.02484,-322.72598,900.50726,-209.3288,-429.68408,734.49329,-271.49612,-395.45197,671.70135
34,0.275,-265.02484,-322.72598,900.50726,-209.459,-429.8952,734.39014,-271.06979,-395.34021,671.54822
35,0.283,-265.04358,-322.56839,900.72015,-209.36996,-429.81125,734.61908,-270.88165,-395.25815,671.29779
36,0.292,-265.04358,-322.56839,900.72015,-209.47183,-429.6185,734.42169,-271.06979,-395.34021,671.54822
37,0.3,-265.4408,-322.61337,900.46771,-209.60204,-429.82959,734.31848,-270.88165,-395.25815,671.29779
38,0.308,-265.68814,-322.83865,900.33984,-209.60204,-429.82959,734.31848,-270.88165,-395.25815,671.29779
39,0.317,-265.90491,-323.49069,900.22498,-209.46181,-430.33392,734.66028,-270.88165,-395.25815,671.29779
40,0.325,-265.81711,-323.35431,900.37042,-209.60204,-429.82959,734.31848,-270.88165,-395.25815,671.29779
41,0.333,-266.13916,-323.47119,900.48932,-209.46181,-430.33392,734.66028,-270.88165,-395.25815,671.29779
42,0.342,-266.20251,-323.26691,900.55005,-209.46181,-430.33392,734.66028,-270.88165,-395.25815,671.29779
43,0.35,-266.20251,-323.26691,900.55005,-209.46181,-430.33392,734.66028,-270.88165,-395.25815,671.29779
44,0.358,-266.21872,-323.45129,900.55396,-209.50577,-430.39758,734.76056,-270.88165,-395.25815,671.29779
45,0.367,-266.52499,-323.77567,900.55048,-209.36749,-430.44043,734.82214,-271.06979,-395.34021,671.54822
46,0.375,-266.12329,-323.50305,900.70978,-208.99092,-430.7984,735.54834,-270.9436,-395.82654,671.43427
47,0.383,-266.12329,-323.50305,900.70978,-208.99092,-430.7984,735.54834,-271.13162,-395.90848,671.68463
48,0.392,-266.12329,-323.50305,900.70978,-209.03206,-430.81827,735.70111,-271.1911,-396.30612,671.80475
49,0.4,-266.19067,-323.90631,900.67664,-209.03206,-430.81827,735.70111,-271.32654,-396.38904,672.11804
50,0.408,-266.12329,-323.50305,900.70978,-208.88641,-430.8457,735.78162,-271.32654,-396.38904,672.11804
51,0.417,-266.12329,-323.50305,900.70978,-208.88641,-430.8457,735.78162,-271.97455,-397.64722,671.32599
52,0.425,-266.18802,-323.57394,901.08972,-208.89301,-430.88333,736.02356,-271.75992,-396.56207,672.60474
53,0.433,-265.79352,-323.5752,901.02405,-208.86865,-430.74005,735.86298,-271.75992,-396.56207,672.60474
54,0.442,-265.73019,-323.77948,900.9632,-208.84479,-430.86942,735.90472,-271.75992,-396.56207,672.60474
55,0.45,-265.61627,-323.78894,901.07758,-208.82701,-430.7637,735.98608,-271.35458,-397.23807,672.29346
56,0.458,-265.57898,-323.72244,901.1593,-208.80319,-430.89316,736.02789,-271.32187,-396.43839,672.39789
57,0.467,-265.55829,-323.49924,901.0177,-208.84479,-430.86942,735.90472,-271.75992,-396.56207,672.60474
