Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-130.34889,-29.61687,1029.1543,169.14665,-216.28049,911.07745,162.65601,179.55879,902.43127
2,0.008,-130.39415,-28.97653,1029.12134,169.14665,-216.28049,911.07745,162.47702,179.35442,902.53674
3,0.017,-130.35948,-29.50443,1028.98914,169.07523,-216.35313,910.98767,162.47702,179.35442,902.53674
4,0.025,-130.34889,-29.61687,1029.1543,169.15047,-216.48279,910.97345,162.62175,178.86166,902.41846
5,0.033,-130.34889,-29.61687,1029.1543,169.07523,-216.35313,910.98767,162.80075,179.06612,902.31299
6,0.042,-130.34889,-29.61687,1029.1543,169.09042,-216.71971,911.20367,162.80075,179.06612,902.31299
7,0.05,-130.38625,-29.04297,1029.31946,169.01518,-216.59009,911.2179,162.80075,179.06612,902.31299
8,0.058,-130.38625,-29.04297,1029.31946,169.01518,-216.59009,911.2179,162.62175,178.86166,902.41846
9,0.067,-130.38625,-29.04297,1029.31946,168.85782,-216.73645,911.16431,162.34033,178.51149,902.33691
10,0.075,-130.57176,-29.33125,1029.45105,168.82057,-217.03508,911.13696,162.34033,178.51149,902.33691
11,0.083,-130.69104,-29.38393,1029.5448,168.34422,-216.89697,911.17438,162.18832,178.36171,902.48523
12,0.092,-130.69104,-29.38393,1029.5448,168.01389,-216.93246,911.31329,162.34033,178.51149,902.33691
13,0.1,-130.50554,-29.09559,1029.41321,167.67914,-217.19627,911.38562,162.34033,178.51149,902.33691
14,0.108,-130.50554,-29.09559,1029.41321,167.55278,-217.20413,911.45105,162.3517,178.44159,902.41296
15,0.117,-130.7209,-28.91549,1029.72168,167.55278,-217.20413,911.45105,162.34033,178.51149,902.33691
16,0.125,-130.7209,-28.91549,1029.72168,167.55278,-217.20413,911.45105,162.18832,178.36171,902.48523
17,0.133,-130.95581,-29.33125,1029.78931,167.26845,-217.40398,911.54041,162.18832,178.36171,902.48523
18,0.142,-130.95581,-29.33125,1029.78931,167.26845,-217.40398,911.54041,162.18832,178.36171,902.48523
19,0.15,-130.95581,-29.33125,1029.78931,167.36998,-217.3226,911.43982,161.89803,178.16811,902.61871
20,0.158,-130.88901,-28.83505,1029.71069,167.11353,-217.36212,911.44006,161.89803,178.16811,902.61871
21,0.167,-130.9341,-28.17133,1029.78955,167.11353,-217.36212,911.44006,161.89803,178.16811,902.61871
22,0.175,-130.88901,-28.83505,1029.71069,167.11353,-217.36212,911.44006,161.457,178.30045,902.58142
23,0.183,-131.12393,-29.25081,1029.77832,167.11353,-217.36212,911.44006,161.457,178.30045,902.58142
24,0.192,-131.35481,-29.18941,1029.67664,167.11353,-217.36212,911.44006,161.457,178.30045,902.58142
25,0.2,-131.562,-29.12076,1029.50134,167.02614,-217.40659,911.57617,161.32091,178.05305,902.43121
26,0.208,-131.35481,-29.18941,1029.67664,167.11353,-217.36212,911.44006,161.457,178.30045,902.58142
27,0.217,-131.16901,-28.58708,1029.85718,167.11353,-217.36212,911.44006,161.457,178.30045,902.58142
28,0.225,-131.16901,-28.58708,1029.85718,167.11353,-217.36212,911.44006,161.457,178.30045,902.58142
29,0.233,-131.55162,-28.50289,1029.79187,167.07401,-217.47482,911.35156,161.3512,178.395,902.73248
30,0.242,-132.01537,-28.39408,1029.67566,166.9866,-217.5193,911.48767,161.3512,178.395,902.73248
31,0.25,-132.01537,-28.39408,1029.67566,167.00816,-217.42366,911.21429,161.13406,177.95947,902.38983
32,0.258,-132.27573,-29.7046,1029.47998,167.11353,-217.36212,911.44006,161.13406,177.95947,902.38983
33,0.267,-132.01537,-28.39408,1029.67566,167.0477,-217.31096,911.3028,161.13406,177.95947,902.38983
34,0.275,-132.01537,-28.39408,1029.67566,167.00816,-217.42366,911.21429,161.21509,178.14764,902.58228
35,0.283,-132.31488,-28.3345,1029.66541,167.00816,-217.42366,911.21429,161.3512,178.395,902.73248
36,0.292,-132.01537,-28.39408,1029.67566,166.92168,-217.46426,911.33948,161.13406,177.95947,902.38983
37,0.3,-131.75883,-28.43419,1029.61646,167.11353,-217.36212,911.44006,161.13406,177.95947,902.38983
38,0.308,-132.32089,-29.04075,1029.55872,167.00816,-217.42366,911.21429,161.13406,177.95947,902.38983
39,0.317,-132.57506,-29.645,1029.46973,167.11353,-217.36212,911.44006,161.13406,177.95947,902.38983
40,0.325,-133.23532,-28.77927,1029.30518,166.84946,-217.41267,911.20166,161.13406,177.95947,902.38983
41,0.333,-132.76703,-28.9072,1029.53589,167.07401,-217.47482,911.35156,161.13739,177.89455,902.4635
42,0.342,-132.12138,-28.96598,1029.38818,167.07401,-217.47482,911.35156,161.13406,177.95947,902.38983
43,0.35,-131.83858,-29.42583,1029.15039,167.07401,-217.47482,911.35156,161.13739,177.89455,902.4635
44,0.358,-132.70683,-28.13104,1029.16235,167.07401,-217.47482,911.35156,161.13406,177.95947,902.38983
45,0.367,-133.31815,-28.7124,1029.00818,166.9866,-217.5193,911.48767,161.13739,177.89455,902.4635
46,0.375,-133.0945,-30.47445,1028.66016,166.9866,-217.5193,911.48767,161.13406,177.95947,902.38983
47,0.383,-132.98309,-30.74866,1028.36926,167.07401,-217.47482,911.35156,160.9066,178.1035,902.52179
48,0.392,-132.7063,-30.79395,1028.31738,167.07401,-217.47482,911.35156,160.90993,178.03857,902.59546
49,0.4,-132.49902,-29.11289,1028.48218,167.07401,-217.47482,911.35156,161.13739,177.89455,902.4635
50,0.408,-132.4165,-29.22623,1028.55554,167.07401,-217.47482,911.35156,160.99744,177.89873,902.51862
51,0.417,-133.94003,-31.51631,1027.8844,167.07401,-217.47482,911.35156,160.99744,177.89873,902.51862
52,0.425,-133.63452,-31.58156,1027.92175,167.07401,-217.47482,911.35156,160.62538,178.53555,902.76886
