Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,108.37216,275.15695,1315.32922,86.0101,326.94241,1134.7876,24.78132,258.17017,1122.19836
2,0.008,108.43133,275.30136,1315.1604,86.0101,326.94241,1134.7876,24.78132,258.17017,1122.19836
3,0.017,108.37216,275.15695,1315.32922,85.91435,326.79016,1134.97046,24.78132,258.17017,1122.19836
4,0.025,108.37216,275.15695,1315.32922,86.0101,326.94241,1134.7876,24.78132,258.17017,1122.19836
5,0.033,108.55351,275.18503,1315.5321,85.57005,326.10596,1134.77209,24.78132,258.17017,1122.19836
6,0.042,108.37216,275.15695,1315.32922,86.1433,326.49533,1134.75208,25.05263,258.56192,1122.25464
7,0.05,108.55351,275.18503,1315.5321,87.12851,326.28485,1134.79004,25.05263,258.56192,1122.25464
8,0.058,108.55351,275.18503,1315.5321,87.11467,325.82513,1134.78406,25.38085,259.61334,1122.68262
9,0.067,108.61267,275.32947,1315.36328,87.11467,325.82513,1134.78406,25.05263,258.56192,1122.25464
10,0.075,108.61267,275.32947,1315.36328,87.11467,325.82513,1134.78406,25.05263,258.56192,1122.25464
11,0.083,108.73141,275.35028,1315.2865,87.20169,325.76215,1134.84558,25.05263,258.56192,1122.25464
12,0.092,108.73141,275.35028,1315.2865,87.36784,325.75558,1134.8075,25.05263,258.56192,1122.25464
13,0.1,108.93377,275.19003,1315.08569,87.36784,325.75558,1134.8075,25.4499,258.32156,1122.22363
14,0.108,109.27424,275.30356,1314.99707,87.36784,325.75558,1134.8075,25.4499,258.32156,1122.22363
15,0.117,109.39778,275.23834,1315.05188,87.52599,325.71518,1134.81812,25.4499,258.32156,1122.22363
16,0.125,109.84368,275.09991,1315.08789,87.52599,325.71518,1134.81812,25.4499,258.32156,1122.22363
17,0.133,109.84368,275.09991,1315.08789,87.52599,325.71518,1134.81812,25.84607,258.11728,1122.14758
18,0.142,110.0172,275.07727,1315.05798,87.70777,325.67365,1134.82373,25.84607,258.11728,1122.14758
19,0.15,110.20744,274.91611,1314.93457,87.97994,325.24393,1134.73523,25.84607,258.11728,1122.14758
20,0.158,110.40957,274.99548,1314.68872,88.11222,325.27789,1134.65137,25.84607,258.11728,1122.14758
21,0.167,110.40957,274.99548,1314.68872,88.37349,325.49347,1134.48511,26.49828,259.54095,1122.26868
22,0.175,110.40957,274.99548,1314.68872,88.37349,325.49347,1134.48511,26.49828,259.54095,1122.26868
23,0.183,110.73546,274.8295,1314.57031,88.70628,325.34763,1134.34558,27.08804,259.17441,1121.75537
24,0.192,110.88398,274.78555,1314.58276,88.85689,325.3714,1134.27063,27.08804,259.17441,1121.75537
25,0.2,110.88398,274.78555,1314.58276,88.5956,325.15585,1134.43689,26.97756,258.59705,1121.36731
26,0.208,110.88398,274.78555,1314.58276,88.5956,325.15585,1134.43689,26.85186,257.42746,1121.79504
27,0.217,110.88398,274.78555,1314.58276,88.85689,325.3714,1134.27063,27.50479,258.85083,1121.91626
28,0.225,111.19161,275.20212,1314.74744,89.31024,325.25201,1134.29492,27.50479,258.85083,1121.91626
29,0.233,111.34358,275.18396,1314.71863,89.51804,325.11038,1134.06995,27.50479,258.85083,1121.91626
30,0.242,111.53474,274.90359,1314.74646,89.51804,325.11038,1134.06995,27.89818,259.2963,1121.90686
