Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,82.00013,-221.89687,674.76648,184.4399,-147.89488,547.56744,124.43768,-205.696,502.74628,168.22293,-79.24853,479.47595
2,0.008,82.00013,-221.89687,674.76648,184.4399,-147.89488,547.56744,124.5479,-206.00775,502.75516,168.22293,-79.24853,479.47595
3,0.017,82.00013,-221.89687,674.76648,184.4399,-147.89488,547.56744,124.57543,-206.11574,502.91675,168.28169,-79.63392,479.24335
4,0.025,82.00013,-221.89687,674.76648,184.57306,-147.92455,547.62128,124.56418,-206.21481,502.85013,168.15257,-79.33711,479.75793
5,0.033,82.00013,-221.89687,674.76648,184.57306,-147.92455,547.62128,124.45397,-205.90308,502.84122,168.17841,-79.32079,479.98355
6,0.042,81.95329,-221.95467,674.98987,184.38785,-148.01962,547.64777,124.5307,-205.8387,502.918,168.17841,-79.32079,479.98355
7,0.05,81.95329,-221.95467,674.98987,184.29289,-147.73978,547.8949,123.88904,-205.88362,503.20255,168.17841,-79.32079,479.98355
8,0.058,81.95329,-221.95467,674.98987,184.42813,-147.88672,547.77106,123.88904,-205.88362,503.20255,168.05458,-79.61052,479.87323
9,0.067,81.95329,-221.95467,674.98987,184.5208,-148.14162,547.62518,124.51844,-206.44496,502.89883,167.8933,-79.53068,479.84833
10,0.075,81.95329,-221.95467,674.98987,184.38765,-148.11195,547.57135,124.51844,-206.44496,502.89883,167.84952,-79.69335,479.7132
11,0.083,81.95329,-221.95467,674.98987,184.38765,-148.11195,547.57135,124.28123,-206.55907,502.93005,167.97337,-79.40361,479.82352
12,0.092,81.95329,-221.95467,674.98987,184.38765,-148.11195,547.57135,124.28123,-206.55907,502.93005,167.99919,-79.3873,480.04913
13,0.1,81.95329,-221.95467,674.98987,184.38765,-148.11195,547.57135,124.23856,-206.29204,502.91962,167.99919,-79.3873,480.04913
14,0.108,82.0831,-221.98511,675.15161,184.33942,-148.15042,547.64801,124.40776,-206.55855,502.99127,167.87537,-79.67703,479.93881
15,0.117,81.95329,-221.95467,674.98987,184.33942,-148.15042,547.64801,124.28123,-206.55907,502.93005,167.99919,-79.3873,480.04913
16,0.125,82.0831,-221.98511,675.15161,184.33942,-148.15042,547.64801,124.41276,-206.4711,503.04764,168.22116,-79.7441,480.14917
17,0.133,82.0831,-221.98511,675.15161,184.3324,-148.47939,547.64044,124.08606,-206.89236,502.93945,168.34494,-79.4544,480.25943
18,0.142,82.0831,-221.98511,675.15161,184.3324,-148.47939,547.64044,124.09106,-206.80495,502.99579,168.22116,-79.7441,480.14917
19,0.15,82.0831,-221.98511,675.15161,184.33942,-148.15042,547.64801,124.04961,-206.74512,503.05991,168.22116,-79.7441,480.14917
20,0.158,82.0831,-221.98511,675.15161,184.34831,-148.15935,547.79498,124.06294,-206.77461,503.32028,168.34494,-79.4544,480.25943
21,0.167,82.22928,-222.0128,675.30652,184.34108,-148.58067,547.711,123.75221,-207.05336,503.05792,168.22116,-79.7441,480.14917
22,0.175,82.0831,-221.98511,675.15161,184.28476,-148.59521,547.78937,123.45596,-207.18163,503.32773,167.72748,-79.63071,480.11676
23,0.183,82.22928,-222.0128,675.30652,184.12666,-148.67888,547.74915,123.56225,-206.85974,503.30618,167.66475,-79.57118,480.26233
24,0.192,82.22928,-222.0128,675.30652,183.97362,-148.65535,547.90979,123.43653,-207.01659,503.4006,167.48357,-79.73185,480.33444
25,0.2,82.22928,-222.0128,675.30652,183.97362,-148.65535,547.90979,123.51457,-207.41116,503.49335,167.15411,-79.66976,480.1044
26,0.208,82.22928,-222.0128,675.30652,183.97813,-148.56903,547.9743,123.3251,-207.44276,503.45963,167.15411,-79.66976,480.1044
27,0.217,82.22928,-222.0128,675.30652,183.97813,-148.56903,547.9743,123.31999,-207.34811,503.51556,166.80971,-80.00951,480.03143
28,0.225,82.4511,-222.01715,675.38727,183.97362,-148.65535,547.90979,123.31999,-207.34811,503.51556,167.13925,-80.07155,480.26154
29,0.233,82.56799,-221.84236,675.5025,183.97362,-148.65535,547.90979,123.31999,-207.34811,503.51556,167.13925,-80.07155,480.26154
30,0.242,82.01215,-221.93811,675.73529,183.97813,-148.56903,547.9743,123.27728,-207.08122,503.50519,166.80971,-80.00951,480.03143
31,0.25,81.65722,-222.11136,675.54614,183.55646,-148.5681,548.07684,122.66246,-207.0296,503.42795,166.812,-80.00407,480.18649
32,0.258,81.65722,-222.11136,675.54614,183.5733,-148.73572,548.07831,122.7052,-207.29651,503.43832,166.812,-80.00407,480.18649
33,0.267,81.52746,-222.08086,675.38446,183.45459,-148.69516,548.13501,122.65005,-207.60518,503.38403,166.812,-80.00407,480.18649
34,0.275,81.52746,-222.08086,675.38446,183.45459,-148.69516,548.13501,122.64491,-207.51054,503.43997,166.812,-80.00407,480.18649
35,0.283,81.65722,-222.11136,675.54614,183.45459,-148.69516,548.13501,122.7052,-207.29651,503.43832,166.812,-80.00407,480.18649
36,0.292,81.65722,-222.11136,675.54614,183.39008,-148.66483,548.22705,122.60215,-207.24365,503.4296,166.812,-80.00407,480.18649
37,0.3,81.15503,-222.258,675.51929,183.39008,-148.66483,548.22705,122.36816,-207.40271,503.49789,166.812,-80.00407,480.18649
38,0.308,81.09603,-222.51031,675.41742,183.39008,-148.66483,548.22705,122.3947,-207.22958,503.48328,166.80971,-80.00951,480.03143
39,0.317,81.31744,-222.44948,675.23206,183.22112,-148.65601,548.26733,122.32699,-207.46065,503.53061,166.80971,-80.00951,480.03143
40,0.325,80.9389,-222.4836,675.26349,183.22112,-148.65601,548.26733,122.43748,-207.49648,503.49365,166.812,-80.00407,480.18649
41,0.333,80.9389,-222.4836,675.26349,183.22112,-148.65601,548.26733,122.16282,-207.69856,503.4245,166.812,-80.00407,480.18649
42,0.342,80.9389,-222.4836,675.26349,182.8658,-148.45912,548.33411,121.34411,-206.89305,503.6709,166.812,-80.00407,480.18649
43,0.35,80.71737,-222.47745,675.17487,183.21242,-148.55472,548.19678,121.96341,-206.80661,503.34109,166.80971,-80.00951,480.03143
44,0.358,80.71737,-222.47745,675.17487,183.21242,-148.55472,548.19678,121.9328,-206.99133,503.2713,166.812,-80.00407,480.18649
45,0.367,80.9389,-222.4836,675.26349,183.21242,-148.55472,548.19678,122.00245,-207.4454,503.38513,166.80971,-80.00951,480.03143
46,0.375,81.17132,-222.4218,675.07721,183.07518,-148.56859,548.06476,122.38897,-207.2852,503.37216,166.80971,-80.00951,480.03143
47,0.383,80.81377,-222.69431,675.13379,183.01767,-148.20915,548.16443,121.9328,-206.99133,503.2713,166.80971,-80.00951,480.03143
48,0.392,80.71737,-222.47745,675.17487,183.01767,-148.20915,548.16443,121.96341,-206.80661,503.34109,166.80971,-80.00951,480.03143
49,0.4,80.94955,-222.41759,674.99646,183.15816,-148.11432,548.1712,121.9328,-206.99133,503.2713,166.80971,-80.00951,480.03143
50,0.408,81.17132,-222.4218,675.07721,183.28391,-148.25597,548.1123,122.11838,-206.80872,503.0994,166.80971,-80.00951,480.03143
51,0.417,81.17132,-222.4218,675.07721,183.42471,-148.25836,548.00323,122.31935,-206.83109,503.25833,166.80971,-80.00951,480.03143
52,0.425,81.38126,-222.05324,675.22955,183.60936,-148.16347,548.03375,122.21227,-206.81032,503.3526,166.80971,-80.00951,480.03143
53,0.433,81.17132,-222.4218,675.07721,183.47021,-148.12589,548.02753,122.34623,-207.0183,503.36179,166.80971,-80.00951,480.03143
54,0.442,81.17132,-222.4218,675.07721,183.59598,-148.26755,547.96869,122.34623,-207.0183,503.36179,166.80971,-80.00951,480.03143
55,0.45,81.38126,-222.05324,675.22955,183.60936,-148.16347,548.03375,122.66396,-207.0246,503.30328,166.80971,-80.00951,480.03143
56,0.458,81.38126,-222.05324,675.22955,183.7281,-148.20407,547.97705,122.63709,-206.83736,503.1998,166.80971,-80.00951,480.03143
57,0.467,81.17132,-222.4218,675.07721,183.70235,-148.05417,547.9751,122.63709,-206.83736,503.1998,166.80971,-80.00951,480.03143
58,0.475,81.38126,-222.05324,675.22955,183.70235,-148.05417,547.9751,122.63557,-206.84239,503.32449,166.80971,-80.00951,480.03143
