Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,379.46964,203.3293,658.76831,363.15155,153.70627,652.60449,394.20627,128.17198,640.51062,413.61011,87.71522,635.55542,439.32379,170.6687,614.37054,474.03223,150.70718,574.13403,503.07034,141.37488,535.52704
2,0.008,377.96353,210.13097,657.63245,362.44153,161.86165,653.16779,396.47839,133.66417,640.23175,414.5802,97.84993,634.50995,439.263,180.35509,614.43665,473.83221,162.29485,574.11517,504.1395,152.28123,535.75031
3,0.017,377.30814,220.0887,657.30933,363.08206,168.07455,652.18365,396.10522,143.34325,641.64325,416.95868,106.36328,635.34113,440.35242,188.90251,614.38104,474.52319,172.10187,574.383,503.96405,162.01361,536.22498
4,0.025,377.09961,227.50938,657.9129,362.49542,177.12448,652.51257,397.89511,152.70802,642.86047,416.06207,116.45937,635.36237,439.50748,198.71449,614.32465,474.54196,181.11758,573.66144,504.70807,174.02507,536.40546
5,0.033,375.02332,235.22115,657.63922,361.73782,184.0287,652.5072,397.31271,160.06363,643.30707,417.92581,124.74197,635.72119,439.89984,207.58432,614.27423,474.146,191.85373,573.86688,504.94052,182.96426,535.82758
6,0.042,374.24106,243.01668,657.81964,363.79349,191.45618,653.06793,397.34311,168.12224,643.07404,419.60019,134.19688,635.91321,438.60864,217.02655,614.80597,474.03369,201.4454,574.08435,504.66705,192.2486,536.00513
7,0.05,371.38229,252.1427,658.36774,362.55106,200.64485,652.06641,397.78644,176.57076,642.76654,420.92688,140.26085,636.18726,437.3812,226.97447,614.08051,473.60309,211.33038,574.05859,504.01068,204.65309,535.46722
8,0.058,371.02228,259.93054,658.39984,363.62888,207.62007,653.53198,398.14636,186.73425,643.00995,420.22018,151.65012,636.19598,436.87952,235.06955,614.30774,473.34009,221.73927,574.48517,504.25107,214.72205,535.61328
9,0.067,368.63272,269.05539,658.00739,362.3638,215.34094,653.16229,397.41058,193.33839,643.30695,421.71457,161.22899,637.64667,435.7514,245.08034,614.39423,472.49106,231.6971,574.61841,503.42349,225.54005,535.96191
10,0.075,368.57275,274.44727,658.1142,361.09653,224.71472,652.87366,397.24033,204.67149,643.50525,423.23972,170.81476,638.17786,435.38519,254.36394,614.92896,471.4827,242.56342,574.8573,502.40652,235.6703,536.34937
11,0.083,365.67474,284.82724,658.57135,360.63943,231.35144,653.52008,397.54758,214.40094,643.22064,423.7623,179.87407,637.86981,433.71713,263.85934,614.80487,471.03912,252.28351,575.5343,502.36716,248.26385,536.4906
12,0.092,364.35968,292.34467,659.43469,360.18756,239.58429,653.78827,398.85522,224.73444,642.89374,423.97006,189.04163,638.53125,432.58478,273.31454,615.29846,470.7504,263.45114,575.57251,501.30881,259.25684,536.85748
13,0.1,362.84924,299.32654,659.24817,359.45224,247.04695,652.66095,397.97415,233.73273,643.50391,424.05093,198.11583,639.11859,432.12958,284.18805,616.25348,469.33429,273.61685,576.26044,500.42477,270.13889,537.77094
14,0.108,361.50067,308.3988,659.6839,360.20166,255.08852,654.46667,397.2084,239.90427,644.72412,424.40933,208.56883,638.75372,430.21594,293.70621,616.54156,468.08029,283.60025,576.74463,499.95837,280.77441,538.74365
