Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,55.6846,319.65311,606.42065,65.02443,253.25676,627.08411,102.71728,220.69621,626.27808,136.57558,194.22993,607.40991,146.13506,284.53671,595.35022,176.31442,236.40128,569.55981,158.53206,187.82123,551.85175
2,0.008,55.6846,319.65311,606.42065,65.02443,253.25676,627.08411,102.42224,220.10114,626.68347,136.38625,194.75188,607.23303,145.91986,284.61563,595.3056,176.01927,235.97168,569.48969,158.53206,187.82123,551.85175
3,0.017,55.6846,319.65311,606.42065,65.02443,253.25676,627.08411,102.79648,220.31305,626.53955,137.49106,194.60405,607.29053,146.13506,284.53671,595.35022,175.79878,236.13094,569.36078,158.53206,187.82123,551.85175
4,0.025,55.7424,319.41022,606.30865,65.02443,253.25676,627.08411,102.79648,220.31305,626.53955,137.40266,194.71988,607.21045,146.13506,284.53671,595.35022,176.57539,236.80663,569.45929,158.53206,187.82123,551.85175
5,0.033,55.6846,319.65311,606.42065,65.02443,253.25676,627.08411,102.79648,220.31305,626.53955,137.1073,194.87454,607.47632,146.13506,284.53671,595.35022,176.27013,237.24004,568.69269,158.53206,187.82123,551.85175
6,0.042,55.6846,319.65311,606.42065,65.02443,253.25676,627.08411,102.79648,220.31305,626.53955,137.1073,194.87454,607.47632,146.13506,284.53671,595.35022,176.27013,237.24004,568.69269,158.53206,187.82123,551.85175
7,0.05,55.7424,319.41022,606.30865,65.02443,253.25676,627.08411,102.95338,220.40526,626.4328,137.73676,194.50311,607.03705,146.13506,284.53671,595.35022,176.27013,237.24004,568.69269,158.53206,187.82123,551.85175
8,0.058,55.7424,319.41022,606.30865,65.02443,253.25676,627.08411,102.95338,220.40526,626.4328,137.35905,194.95183,606.9928,146.13506,284.53671,595.35022,176.27013,237.24004,568.69269,158.6095,187.99002,551.65308
9,0.067,55.7424,319.41022,606.30865,65.02443,253.25676,627.08411,102.95338,220.40526,626.4328,136.82431,194.28246,606.9483,146.13506,284.53671,595.35022,176.70522,237.19383,568.56079,158.6095,187.99002,551.65308
10,0.075,55.81672,319.85104,606.28375,65.01769,253.49498,626.88629,102.95338,220.40526,626.4328,136.52953,194.45203,607.20789,146.13506,284.53671,595.35022,176.80992,237.37837,568.38269,158.6095,187.99002,551.65308
11,0.083,55.7424,319.41022,606.30865,65.84592,253.06998,626.82483,102.95338,220.40526,626.4328,136.52953,194.45203,607.20789,146.13506,284.53671,595.35022,176.80992,237.37837,568.38269,159.87555,187.49213,552.2373
12,0.092,55.81672,319.85104,606.28375,65.01769,253.49498,626.88629,102.8307,220.88107,626.21661,136.52953,194.45203,607.20789,145.55836,284.75198,595.19171,176.37488,237.42461,568.51453,158.6095,187.99002,551.65308
13,0.1,55.87997,319.63293,606.16235,65.01769,253.49498,626.88629,102.8307,220.88107,626.21661,137.42886,194.8868,607.04175,145.55836,284.75198,595.19171,176.03625,238.05823,568.66864,158.84389,188.40227,551.70081
14,0.108,55.6846,319.65311,606.42065,65.01769,253.49498,626.88629,102.8307,220.88107,626.21661,137.2719,195.40396,607.44421,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,158.84389,188.40227,551.70081
15,0.117,55.6846,319.65311,606.42065,65.01769,253.49498,626.88629,101.86112,220.46152,626.17035,137.72205,195.17656,607.75946,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,158.84389,188.40227,551.70081
16,0.125,55.46429,319.41113,606.03009,64.96171,255.26042,626.48193,101.78236,220.86148,625.94775,137.72205,195.17656,607.75946,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,159.07591,188.58148,551.86548
17,0.133,55.6846,319.65311,606.42065,65.01769,253.49498,626.88629,102.45673,220.61996,625.97015,137.72205,195.17656,607.75946,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,158.84389,188.40227,551.70081
18,0.142,55.12574,319.71851,606.13501,65.01769,253.49498,626.88629,102.45673,220.61996,625.97015,137.89688,195.39493,607.95013,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,159.07591,188.58148,551.86548
19,0.15,54.80441,319.81461,605.95093,65.01769,253.49498,626.88629,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,158.84389,188.40227,551.70081
20,0.158,54.80441,319.81461,605.95093,65.01769,253.49498,626.88629,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,158.84389,188.40227,551.70081
21,0.167,54.80441,319.81461,605.95093,65.01769,253.49498,626.88629,101.63039,220.77219,626.04352,137.7681,194.95454,607.96149,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,158.80031,188.61111,552.02557
22,0.175,54.866,319.58649,605.83215,64.96171,255.26042,626.48193,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.29729,284.82523,595.18292,176.14101,238.24281,568.49048,158.80031,188.61111,552.02557
23,0.183,54.866,319.58649,605.83215,64.96171,255.26042,626.48193,101.60833,220.52197,626.30298,137.72205,195.17656,607.75946,145.55836,284.75198,595.19171,176.14101,238.24281,568.49048,159.0323,188.79034,552.19025
24,0.192,54.866,319.58649,605.83215,64.96171,255.26042,626.48193,101.60833,220.52197,626.30298,137.72205,195.17656,607.75946,145.40701,284.87686,594.86761,176.14101,238.24281,568.49048,158.76457,188.49342,551.90216
25,0.2,54.80441,319.81461,605.95093,65.01769,253.49498,626.88629,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.29729,284.82523,595.18292,176.14101,238.24281,568.49048,158.95291,188.88155,552.39154
26,0.208,54.80441,319.81461,605.95093,65.01769,253.49498,626.88629,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.29729,284.82523,595.18292,176.14101,238.24281,568.49048,158.72093,188.7023,552.22693
27,0.217,54.80441,319.81461,605.95093,65.01769,253.49498,626.88629,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.29729,284.82523,595.18292,176.14101,238.24281,568.49048,158.95291,188.88155,552.39154
28,0.225,55.00359,319.80914,605.68591,64.96171,255.26042,626.48193,101.63039,220.77219,626.04352,137.72205,195.17656,607.75946,145.40701,284.87686,594.86761,175.87613,238.36426,568.28644,158.72093,188.7023,552.22693
29,0.233,54.80441,319.81461,605.95093,64.96171,255.26042,626.48193,101.63039,220.77219,626.04352,137.89688,195.39493,607.95013,145.40701,284.87686,594.86761,176.03418,238.47783,568.19659,158.87595,188.74965,552.60657
30,0.242,55.01395,320.24185,605.75317,64.96171,255.26042,626.48193,101.63039,220.77219,626.04352,137.89688,195.39493,607.95013,145.40701,284.87686,594.86761,176.14101,238.24281,568.49048,158.95291,188.88155,552.39154
31,0.25,55.01395,320.24185,605.75317,64.75391,256.64658,626.53619,101.63039,220.77219,626.04352,138.17259,195.80681,607.66461,145.40701,284.87686,594.86761,176.29904,238.35638,568.40057,158.95291,188.88155,552.39154
32,0.258,55.00359,319.80914,605.68591,64.75391,256.64658,626.53619,101.63039,220.77219,626.04352,137.367,196.20393,607.82123,145.40701,284.87686,594.86761,175.87613,238.36426,568.28644,158.95291,188.88155,552.39154
