Frame#,Time,L.Wrist.x,L.Wrist.y,L.Wrist.z,L.Thumb.M1.x,L.Thumb.M1.y,L.Thumb.M1.z,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Thumb.M3.x,L.Thumb.M3.y,L.Thumb.M3.z,L.Finger3.M1.x,L.Finger3.M1.y,L.Finger3.M1.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z,L.Finger3.M3.x,L.Finger3.M3.y,L.Finger3.M3.z
1,0,201.31796,379.27521,614.0166,196.67773,334.12939,634.87592,214.96272,288.16525,646.3092,255.14014,251.1588,629.65369,287.41089,365.64719,599.45837,321.90152,318.8963,585.82867,316.255,270.82401,573.65192
2,0.008,201.07567,378.57791,614.33142,195.24483,331.73404,635.05444,214.35007,286.64288,645.07898,252.85164,248.71919,628.24945,287.25403,364.92697,601.21545,321.25784,317.06769,586.00024,315.34058,270.72339,572.39362
3,0.017,201.34598,377.71912,614.63,194.98344,330.10089,634.89777,213.52541,285.25677,644.6275,250.418,246.04161,625.24866,286.7709,363.75571,601.34711,320.68088,315.73584,585.20465,314.99335,270.16437,571.48145
4,0.025,200.23729,376.93018,615.59302,194.62877,329.76099,635.06909,212.24586,285.03381,644.51862,250.43422,245.44321,624.09509,287.10449,362.89496,602.54224,321.5083,315.05347,586.86328,314.98053,268.18185,569.59167
5,0.033,200.29796,376.77036,615.94452,194.55385,329.33707,635.38959,212.03964,284.07236,645.18555,248.22346,243.9278,624.51184,286.32501,362.31839,601.45135,319.61624,313.64517,583.73309,313.64737,267.68677,568.37463
6,0.042,200.43085,376.79153,616.42853,194.24144,330.05249,635.86804,211.3512,283.46594,646.53333,246.80597,243.87616,627.93188,286.03976,360.92068,600.89594,319.56302,312.4213,583.46234,313.16574,266.56534,567.88531
7,0.05,200.457,376.77197,616.65356,194.23694,331.40521,639.0744,211.30072,285.15833,649.31189,244.64537,243.54219,631.35846,286.54199,360.64578,600.35339,318.52216,312.08899,582.53394,313.59274,264.70309,568.91449
8,0.058,200.68211,377.45508,616.47034,194.30295,333.8822,639.85211,211.43477,288.47809,652.65271,244.1149,246.41788,635.62671,287.03595,360.19095,599.90369,318.85873,313.51224,581.45947,313.61267,263.66406,569.87616
9,0.067,200.70345,379.26782,617.0213,195.32161,336.2164,640.61163,213.00043,292.76129,656.46283,244.62546,248.31133,641.73846,287.63,359.18423,598.5,319.37976,309.08118,584.09509,315.07599,262.04352,573.6842
10,0.075,200.3564,379.94019,616.79413,195.38869,339.16708,642.8446,211.57924,296.08118,658.31348,245.20448,252.03407,648.60547,287.69617,359.6362,597.90338,318.28555,310.34149,582.74854,314.09146,261.3754,575.01666
11,0.083,200.79005,380.60703,616.6684,196.96396,341.96042,644.1853,213.60474,301.21582,663.51416,245.55527,254.2435,655.60938,288.51196,359.66135,595.34186,317.47873,309.38678,583.30249,314.46442,260.41324,576.92511
12,0.092,200.92966,382.96484,616.72003,198.02019,344.18536,644.9613,215.14957,304.99524,666.59253,247.09747,259.45432,662.26971,288.80243,359.41867,594.44275,317.47702,308.69061,584.74451,314.31659,260.71707,579.28522
13,0.1,201.15173,385.04077,615.48853,198.04593,346.72385,646.09314,217.51068,310.84326,670.40472,249.80742,265.60504,667.75641,289.26718,359.93442,593.33929,317.7941,308.88916,584.80225,314.21121,259.61615,581.83221
14,0.108,200.70604,385.61313,614.58331,199.84297,350.62708,646.87665,217.76962,314.92468,672.44995,252.77089,271.41217,673.10632,289.68488,361.54465,591.81689,317.64624,308.94772,585.35638,314.05414,260.39291,583.8399
15,0.117,200.54195,386.10776,613.39453,200.47887,351.82312,646.95374,219.48712,320.09592,673.79474,255.94615,276.57065,676.70068,289.41495,362.83673,590.66772,318.48917,309.70145,585.77954,314.68118,260.93939,585.54309
16,0.125,200.63544,386.81271,612.59784,200.63226,352.08356,645.64313,221.48207,323.1532,674.75977,257.1124,280.48849,677.92773,289.45102,364.21814,589.22296,318.8895,310.45798,585.53601,315.4566,262.18195,585.80835
17,0.133,201.07257,387.36023,611.69897,201.5815,354.50702,644.99084,222.4503,326.20691,674.87634,259.38654,284.15231,678.88953,289.71783,365.38336,588.78577,321.07828,313.37494,585.8609,315.25223,262.96051,585.08618
18,0.142,201.02296,388.32663,611.03082,201.59529,355.80566,644.48029,223.30605,328.20721,674.03882,261.46063,285.39355,677.76312,289.34381,366.05716,587.84009,319.97403,314.6387,582.9649,316.90442,265.84241,584.81512
19,0.15,201.02138,389.25345,610.52435,201.77563,356.13376,643.98938,224.26833,329.05389,673.56122,261.95889,285.16226,676.72058,289.3403,367.69888,586.65186,320.46579,316.27548,582.54987,317.7283,267.04086,583.05292
